search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20070701&after=publication:20070401&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7216651B2,Wound treatment employing reduced pressure ,Wake Forest University Health Sciences,"Louis C. Argenta, Michael J. Morykwas",1991-11-14,2001-05-23,2007-05-15,2007-05-15,https://patents.google.com/patent/US7216651B2/en
US7199382B2,Patient alignment system with external measurement and object coordination for radiation therapy system ,Loma Linda University Medical Center,"Nickolas S. Rigney, Daniel C. Anderson, David A. Lesyna, Daniel W. Miller, Michael F. Moyers, Chieh C. Cheng, Michael A. Baumann",2003-08-12,2004-08-12,2007-04-03,2007-04-03,https://patents.google.com/patent/US7199382B2/en
US7220324B2,Technique for the growth of planar semi-polar gallium nitride ,The Regents Of The University Of California,"Troy J. Baker, Benjamin A. Haskell, Paul T. Fini, Steven P. DenBaars, James S. Speck, Shuji Nakamura",2005-03-10,2006-03-10,2007-05-22,2007-05-22,https://patents.google.com/patent/US7220324B2/en
US7200266B2,Method and apparatus for automated video activity analysis ,Princeton University,"I. Burak Ozer, Wayne H. Wolf, Tiehan Lu",2002-08-27,2003-08-27,2007-04-03,2007-04-03,https://patents.google.com/patent/US7200266B2/en
US7225012B1,Methods and systems for image-guided surgical interventions ,The Johns Hopkins University,"Robert Charles Susil, Russell H. Taylor",2000-09-18,2000-09-18,2007-05-29,2007-05-29,https://patents.google.com/patent/US7225012B1/en
US7206423B1,Intrabody communication for a hearing aid ,Board Of Trustees Of University Of Illinois,"Albert S. Feng, Douglas Jones, Bruce C. Wheeler, Robert C. Bilger, Charissa R. Lansing, William D. O'Brien",2000-05-10,2000-05-10,2007-04-17,2007-04-17,https://patents.google.com/patent/US7206423B1/en
US7236816B2,Biopsy and sampling needle antennas for magnetic resonance imaging-guided biopsies ,Johns Hopkins University,"Ananda Kumar, Ergin Atalar, Ogan Ocali",1996-04-25,2002-04-24,2007-06-26,2007-06-26,https://patents.google.com/patent/US7236816B2/en
US7211114B2,Endoscopic gastric bypass ,The Trustees Of Columbia University In The City Of New York,"Marc Bessler, John D. Allendorf",2002-08-26,2002-08-26,2007-05-01,2007-05-01,https://patents.google.com/patent/US7211114B2/en
US7223741B2,Immunostimulatory nucleic acid molecules ,University Of Iowa Research Foundation,Arthur M. Krieg,1994-07-15,2003-07-14,2007-05-29,2007-05-29,https://patents.google.com/patent/US7223741B2/en
US7223567B2,Mutant E. coli strain with increased succinic acid production ,Rice University,"San Ka-Yiu, George N. Bennett, Ailen Sanchez",2004-08-27,2005-08-29,2007-05-29,2007-05-29,https://patents.google.com/patent/US7223567B2/en
US7210478B2,Ventilator monitor system and method of using same ,"University Of Florida Research Foundation, Inc.","Michael J. Banner, Russell Euliano II Neil, Jose C. Principe, Paul B. Blanch",1999-06-30,2004-09-28,2007-05-01,2007-05-01,https://patents.google.com/patent/US7210478B2/en
US7223540B2,Transient electrical signal based methods and devices for characterizing molecular interaction and/or motion in a sample ,The Board Of Trustees Of The Leland Stanford Junior University,"Nader Pourmand, Arjang Hassibi",2000-10-20,2003-01-15,2007-05-29,2007-05-29,https://patents.google.com/patent/US7223540B2/en
US7211926B2,Temperature compensated oscillator including MEMS resonator for frequency control ,The Regents Of The University Of California,"Emmanuel P. Quevy, Roger T. Howe",2005-03-09,2006-02-23,2007-05-01,2007-05-01,https://patents.google.com/patent/US7211926B2/en
US7212851B2,Microstructured arrays for cortex interaction and related methods of manufacture and use ,Brown University Research Foundation,"John Philip Donoghue, Nicholas George Hatsopoulos, Sylvain Martel, Timothy A. Fofonoff, Robert J. Dyer, Ian W. Hunter",2002-10-24,2002-10-24,2007-05-01,2007-05-01,https://patents.google.com/patent/US7212851B2/en
US7208393B2,Growth of planar reduced dislocation density m-plane gallium nitride by hydride vapor phase epitaxy ,The Regents Of The University Of California,"Benjamin A. Haskell, Melvin B. McLaurin, Steven P. DenBaars, James Stephen Speck, Shuji Nakamura",2002-04-15,2005-05-31,2007-04-24,2007-04-24,https://patents.google.com/patent/US7208393B2/en
US7208605B2,"Functionalized ionic liquids, and methods of use thereof ",University Of South Alabama,"James Hillard Davis, Jr.",2002-04-05,2003-04-04,2007-04-24,2007-04-24,https://patents.google.com/patent/US7208605B2/en
US7209788B2,Closed loop brain machine interface ,Duke University,"Miguel A. L. Nicolelis, John K. Chapin, Johan Wessberg",2001-10-29,2001-10-29,2007-04-24,2007-04-24,https://patents.google.com/patent/US7209788B2/en
US7220398B2,Mixed-metal oxide particles by liquid feed flame spray pyrolysis of oxide precursors in oxygenated solvents ,Tal Materials & The Regents Of The University Of Michigan,"Anthony C. Sutorik, Richard M. Laine, Julien Marchal, Tyrone Johns, Thomas Hinklin",2002-02-19,2003-02-19,2007-05-22,2007-05-22,https://patents.google.com/patent/US7220398B2/en
US7220658B2,Growth of reduced dislocation density non-polar gallium nitride by hydride vapor phase epitaxy ,The Regents Of The University Of California,"Benjamin A Haskell, Michael D. Craven, Paul T. Fini, Steven P. DenBaars, James S. Speck, Shuji Nakamura",2002-12-16,2003-07-15,2007-05-22,2007-05-22,https://patents.google.com/patent/US7220658B2/en
US7208478B2,Immunostimulatory polynucleotide/immunomodulatory molecule conjugates ,The Regents Of The University Of California,"Dennis A. Carson, Eyal Raz, Mark Roman",1996-10-11,2003-03-20,2007-04-24,2007-04-24,https://patents.google.com/patent/US7208478B2/en
US7219016B2,Systems and methods for automated analysis of cells and tissues ,Yale University,"David L. Rimm, Robert L. Camp",2001-04-20,2002-02-01,2007-05-15,2007-05-15,https://patents.google.com/patent/US7219016B2/en
US7203276B2,"X-ray scatter image reconstruction by balancing of discrepancies between detector responses, and apparatus therefor ",University Of New Brunswick,"Paul Jacob Arsenault, Esam Hussein",2004-08-27,2005-07-27,2007-04-10,2007-04-10,https://patents.google.com/patent/US7203276B2/en
US7217882B2,Broad spectrum solar cell ,"Cornell Research Foundation, Inc., The Regents Of The University Of California","Wladyslaw Walukiewicz, Kin Man Yu, Junqiao Wu, William J. Schaff",2002-05-24,2003-05-27,2007-05-15,2007-05-15,https://patents.google.com/patent/US7217882B2/en
US7204970B2,Single-wall carbon nanotubes from high pressure CO ,William Marsh Rice University,"Richard E. Smalley, Ken A. Smith, Daniel T. Colbert, Pavel Nikolaev, Michael J. Bronikowski, Robert K. Bradley, Frank Rohmund",1998-11-03,2003-12-08,2007-04-17,2007-04-17,https://patents.google.com/patent/US7204970B2/en
US7234351B2,Electronic measurement of the motion of a moving body of sports equipment ,The Regents Of The University Of Michigan,Noel C. Perkins,2001-07-24,2006-03-27,2007-06-26,2007-06-26,https://patents.google.com/patent/US7234351B2/en
US7211079B2,Ringed forceps ,The Trustees Of Columbia University In The City Of New York,Michael R. Treat,1997-03-05,2006-01-11,2007-05-01,2007-05-01,https://patents.google.com/patent/US7211079B2/en
US7202332B2,Methods for preparing internally constrained peptides and peptidomimetics ,New York University,"Paramjit Arora, Ross Chapman",2004-05-27,2005-05-13,2007-04-10,2007-04-10,https://patents.google.com/patent/US7202332B2/en
US7205072B2,Layered cathode materials for lithium ion rechargeable batteries ,The University Of Chicago,"Sun-Ho Kang, Khalil Amine",2002-11-01,2003-10-31,2007-04-17,2007-04-17,https://patents.google.com/patent/US7205072B2/en
US7200606B2,Method and system for selecting documents by measuring document quality ,The Regents Of The University Of California,Charles Elkan,2000-11-07,2001-11-02,2007-04-03,2007-04-03,https://patents.google.com/patent/US7200606B2/en
US7224702B2,System and method for error-control for multicast video distribution ,The Chinese University Of Hong Kong,Jack Yiu-bun Lee,2000-08-30,2001-08-30,2007-05-29,2007-05-29,https://patents.google.com/patent/US7224702B2/en
US7223998B2,"White, single or multi-color light emitting diodes by recycling guided modes ",The Regents Of The University Of California,"Carole Schwach, Claude Charles Aime Weisbuch, Steven P. DenBaars, Henri Benisty, Shuji Nakamura",2004-09-10,2004-09-10,2007-05-29,2007-05-29,https://patents.google.com/patent/US7223998B2/en
