search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20080701&after=publication:20080401&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7351258B2,Apparatus and method for fixation of vascular grafts ,The Research Foundation Of State University Of New York At Stony Brook,"John Ricotta, Benjamin S. Hsiao, Rajesh H. Somani",2001-04-20,2002-04-18,2008-04-01,2008-04-01,https://patents.google.com/patent/US7351258B2/en
US7359062B2,High speed spectral domain functional optical coherence tomography and optical doppler tomography for in vivo blood flow dynamics and tissue structure ,The Regents Of The University Of California,"Zhongping Chen, Jun Zhang, J. Stuart Nelson",2003-12-09,2004-12-09,2008-04-15,2008-04-15,https://patents.google.com/patent/US7359062B2/en
US7389145B2,Systems and methods for reversibly blocking nerve activity ,Case Western Reserve University,"Kevin L. Kilgore, Warren M. Grill, Cameron C. McIntyre, John Thomas Mortimer",2001-02-20,2002-02-20,2008-06-17,2008-06-17,https://patents.google.com/patent/US7389145B2/en
US7371238B2,Method and device for treating scoliosis ,Queen's University At Kingston,"Donald A. Soboleski, Gerald A. B. Saunders, Daniel P. Borschneck",2001-02-16,2002-02-15,2008-05-13,2008-05-13,https://patents.google.com/patent/US7371238B2/en
US7368740B2,Configuration management and retrieval system for proton beam therapy system ,Loma Linda University Medical Center,"Alexandre V. Beloussov, Michael A. Baumann, Howard B. Olsen, Dana Salem",2003-01-02,2006-07-28,2008-05-06,2008-05-06,https://patents.google.com/patent/US7368740B2/en
US7371067B2,Simulation method for designing customized medical devices ,"The Johns Hopkins University School Of Medicine, Agency For Science, Technology & Research (A*Star)","James H. Anderson, William R. Brody, Chee-Kong Chui, Yiyu Cai, Yaoping Wang, Wieslaw L. Nowinski",2001-03-06,2002-03-05,2008-05-13,2008-05-13,https://patents.google.com/patent/US7371067B2/en
US7356367B2,Computer aided treatment planning and visualization with image registration and fusion ,The Research Foundation Of State University Of New York,"Zhengrong Liang, Dongqing Chen, Bin Li, Clemente T. Roque, Eric E. Smouha, Arie E. Kaufman, Mark R. Wax, Kevin Kreeger",2000-06-06,2001-06-06,2008-04-08,2008-04-08,https://patents.google.com/patent/US7356367B2/en
US7369321B1,Variable-focus liquid lens ,"University Of Central Florida Research Foundation, Inc.","Hongwen Ren, Shin-Tson Wu",2007-01-16,2007-01-16,2008-05-06,2008-05-06,https://patents.google.com/patent/US7369321B1/en
US7359124B1,Wide-angle variable focal length lens system ,Louisiana Tech University Research Foundation As A Division Of The Louisiana Tech University Foundation,"Ji Fang, Jackie Chen, Weisong Wang, Kody Varahramyan, R. Alfred Gunasekaran, Mangilal Agarwal",2004-04-30,2005-04-30,2008-04-15,2008-04-15,https://patents.google.com/patent/US7359124B1/en
US7361576B2,Defect reduction of non-polar and semi-polar III-Nitrides with sidewall lateral epitaxial overgrowth (SLEO) ,"The Regents Of The University Of California, Japan Science And Technology Agency","Bilge M. Imer, James S. Speck, Steven P. DenBaars",2005-05-31,2006-05-31,2008-04-22,2008-04-22,https://patents.google.com/patent/US7361576B2/en
