search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20081001&after=publication:20080701&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7393599B2,Luminescent compounds with carbene ligands ,The University Of Southern California,"Mark E. Thompson, Arnold Tamayo, Peter Djurovich, Tissa Sajoto",2004-05-18,2004-06-28,2008-07-01,2008-07-01,https://patents.google.com/patent/US7393599B2/en
US7393428B2,Method for making a thermal interface material ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Hua Huang, Yang Wu, Chang-Hong Liu, Shou-Shan Fan",2005-03-24,2005-12-29,2008-07-01,2008-07-01,https://patents.google.com/patent/US7393428B2/en
US7430355B2,Light emissive signage devices based on lightwave coupling ,University Of Cincinnati,"Jason C. Heikenfeld, Andrew J. Steckl, John D. Rudolph",2003-12-08,2006-09-27,2008-09-30,2008-09-30,https://patents.google.com/patent/US7430355B2/en
US7422902B1,Lipid-nucleic acid particles prepared via a hydrophobic lipid-nucleic acid complex intermediate and use for gene transfer ,The University Of British Columbia,"Jeffery J. Wheeler, Marcel B. Bally, Yuan-Peng Zhang, Dorothy L. Reimer, Michael Hope, Pieter R. Cullis, Peter Scherrer",1995-06-07,1999-11-01,2008-09-09,2008-09-09,https://patents.google.com/patent/US7422902B1/en
US7394082B2,Ion beam delivery equipment and an ion beam delivery method ,"Hitachi, Ltd., Board Of Regents, The University Of Texas System","Hisataka Fujimaki, Koji Matsuda, Hiroshi Akiyama, Masaki Yanagisawa, Alfred R. Smith, Kazuo Hiramoto",2006-05-01,2006-05-01,2008-07-01,2008-07-01,https://patents.google.com/patent/US7394082B2/en
US7413474B2,Composite coaxial cable employing carbon nanotubes therein ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Liang Liu, Kai-Li Jiang, Shou-Shan Fan, Ceasar Chen, Hsi-Fu Lee, Ga-Lane Chen",2006-06-14,2006-11-28,2008-08-19,2008-08-19,https://patents.google.com/patent/US7413474B2/en
US7393656B2,Methods and compositions for risk stratification ,The Board Of Trustees Of The Leland Stanford Junior University,"Omar D. Perez, Garry P. Nolan, Jonathan M. Irish",2001-07-10,2004-07-21,2008-07-01,2008-07-01,https://patents.google.com/patent/US7393656B2/en
US7419624B1,Methods for producing composites of fullerene nanotubes and compositions thereof ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Hongjie Dai, Jie Liu, Andrew G. Rinzler, Jason H. Hafner, Ken Smith, Ting Guo, Pavel Nikolaev, Andreas Thess",1997-03-07,2006-08-22,2008-09-02,2008-09-02,https://patents.google.com/patent/US7419624B1/en
US7423991B2,Apparatus and method for allocating subchannels adaptively according to frequency reuse rates in an orthogonal frequency division multiple access system ,"Samsung Electronics Co., Ltd, Seoul National University Industry Foundation","Sung-hyun Cho, Sang-Boh Yun, Won-Hyoung Park, Young-Nam Han, Hoon Kim, Ja-Yong Koo",2003-12-23,2004-12-23,2008-09-09,2008-09-09,https://patents.google.com/patent/US7423991B2/en
US7400399B2,Methods for using resonant waveguide-grating filters and sensors ,"Board Of Regents, The University Of Texas System","Debra D. Wawro, Sorin Tibuleac, Robert Magnusson",1999-11-05,2005-12-16,2008-07-15,2008-07-15,https://patents.google.com/patent/US7400399B2/en
