search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20080401&after=publication:20080101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7326252B2,High performance knee prostheses ,"Smith & Nephew, Inc., The Trustees Of The University Of Pennsylvania","Jason K. Otto, Brian McKinnon, Dean Hughes, Michael Ries, Jan Victor, Johan Bellemans, Johanthan Garino, Timothy Wilton",2002-12-20,2003-12-22,2008-02-05,2008-02-05,https://patents.google.com/patent/US7326252B2/en
US7336366B2,Methods and systems for reducing complex conjugate ambiguity in interferometric data ,Duke University,"Michael Choma, Joseph A. Izatt, Anjul Davis",2005-01-20,2006-01-20,2008-02-26,2008-02-26,https://patents.google.com/patent/US7336366B2/en
US7339187B2,Transistor structures ,State Of Oregon Acting By And Through The Oregon State Board Of Higher Education On Behalf Of Oregon State University,"John F. Wager, III, Randy L. Hoffman",2002-05-21,2003-01-24,2008-03-04,2008-03-04,https://patents.google.com/patent/US7339187B2/en
US7329545B2,Methods for sampling a liquid flow ,Duke University,"Vamsee K. Pamula, Michael G. Pollack, Philip Y. Paik, Hong Ren, Richard B. Fair",2002-09-24,2002-09-24,2008-02-12,2008-02-12,https://patents.google.com/patent/US7329545B2/en
US7338828B2,Growth of planar non-polar {1 -1 0 0} m-plane gallium nitride with metalorganic chemical vapor deposition (MOCVD) ,"The Regents Of The University Of California, Japan Science And Technology Agency","Bilge M. Imer, James S. Speck, Steven P. DenBaars, Shuji Nakamura",2005-05-31,2006-05-31,2008-03-04,2008-03-04,https://patents.google.com/patent/US7338828B2/en
US7338722B2,Phenyl and fluorenyl substituted phenyl-pyrazole complexes of Ir ,The University Of Southern California,"Mark E. Thompson, Arnold Tamayo, Peter Djurovich",2003-03-24,2004-03-24,2008-03-04,2008-03-04,https://patents.google.com/patent/US7338722B2/en
US7317216B2,Ultrasensitive biochemical sensing platform ,University Of Hawaii,James W. Holm-Kennedy,2003-10-31,2004-10-29,2008-01-08,2008-01-08,https://patents.google.com/patent/US7317216B2/en
US7330090B2,Zeroeth-order resonator ,The Regents Of The University Of California,"Tatsuo Itoh, Atsushi Sanada, Christophe Caloz",2004-03-26,2005-03-28,2008-02-12,2008-02-12,https://patents.google.com/patent/US7330090B2/en
US7328196B2,Architecture for multiple interacting robot intelligences ,Vanderbilt University,Alan Peters II Richard,2003-12-31,2003-12-31,2008-02-05,2008-02-05,https://patents.google.com/patent/US7328196B2/en
US7334630B2,Closed-loop microchannel cooling system ,The Board Of Trustees Of The Leland Stanford Junior University,"Kenneth E. Goodson, Chuan-Hua Chen, David E. Huber, Linan Jiang, Thomas W. Kenny, Jae-Mo Koo, Daniel J. Laser, James C. Mikkelsen, Juan G. Santiago, Evelyn Ning-Yi Wang, Shulin Zeng, Lian Zhang",2001-09-28,2005-05-25,2008-02-26,2008-02-26,https://patents.google.com/patent/US7334630B2/en
US7349522B2,Dynamic radiation therapy simulation system ,Board Of Trustees Of The University Of Arkansas,"Yulong Yan, Xuejun Weng, Vaneerat Ratanatharathorn, Jose Penagaricano",2005-06-22,2005-06-22,2008-03-25,2008-03-25,https://patents.google.com/patent/US7349522B2/en
US7336187B2,Patient activity monitor ,The Trustees Of Boston University,"James E. Hubbard, Jr., Micahel D. Healy, Marianne Mastrangelo",2002-10-18,2003-10-20,2008-02-26,2008-02-26,https://patents.google.com/patent/US7336187B2/en
US7333850B2,Maternal-fetal monitoring system ,"University Of Florida Research Foundation, Inc., Convergent Engineering, Inc.","Dorothee Marossero, Tammy Y. Euliano, Russell Euliano II Neil, Jose C. Principe",2004-05-28,2004-05-28,2008-02-19,2008-02-19,https://patents.google.com/patent/US7333850B2/en
US7345027B2,Compositions and methods for siRNA inhibition of angiogenesis ,The Trustees Of The University Of Pennsylvania,"Michael J. Tolentino, Samuel Jotham Reich",2002-07-24,2006-06-08,2008-03-18,2008-03-18,https://patents.google.com/patent/US7345027B2/en
US7317759B1,System and methods for video compression mode decisions ,Carnegie Mellon University,"Deepak S. Turaga, Tsuhan Chen",2002-02-28,2002-02-28,2008-01-08,2008-01-08,https://patents.google.com/patent/US7317759B1/en
US7340388B2,Statistical translation using a large monolingual corpus ,University Of Southern California,"Radu Soricut, Daniel Marcu, Kevin Knight",2002-03-26,2003-03-26,2008-03-04,2008-03-04,https://patents.google.com/patent/US7340388B2/en
US7333611B1,"Ultra-secure, ultra-efficient cryptographic system ",Northwestern University,"Horace P. Yuen, Prem Kumar, Geraldo A. Barbosa",2002-09-27,2003-09-29,2008-02-19,2008-02-19,https://patents.google.com/patent/US7333611B1/en
US7338915B1,Ropes of single-wall carbon nanotubes and compositions thereof ,Rice University,"Richard E. Smalley, Daniel T. Colbert, Ting Guo, Andrew G. Rinzler, Pavel Nikolaev, Andreas Thess",1995-09-08,2000-11-27,2008-03-04,2008-03-04,https://patents.google.com/patent/US7338915B1/en
US7348183B2,Self-contained microelectrochemical bioassay platforms and methods ,Board Of Trustees Of The University Of Arkansas,"Ingrid Fritsch, Robert Beitle, Jr., Zoraida Aguilar",2000-10-16,2002-09-24,2008-03-25,2008-03-25,https://patents.google.com/patent/US7348183B2/en
US7340099B2,System and method for image fusion ,University Of New Brunswick,Yun Zhang,2003-01-17,2003-01-17,2008-03-04,2008-03-04,https://patents.google.com/patent/US7340099B2/en
US7322971B2,Surgical drain with sensors for monitoring internal tissue condition by transmittance ,Alfred E. Mann Institute For Biomedical Engineering At The University Of Southern California,Ramez Emile Necola Shehada,2003-02-07,2004-02-09,2008-01-29,2008-01-29,https://patents.google.com/patent/US7322971B2/en
US7318866B2,Systems and methods for inducing crystallization of thin films using multiple optical paths ,The Trustees Of Columbia University In The City Of New York,James Im,2003-09-16,2004-01-09,2008-01-15,2008-01-15,https://patents.google.com/patent/US7318866B2/en
US7324444B1,Adaptive playout scheduling for multimedia communication ,The Board Of Trustees Of The Leland Stanford Junior University,"Yi Liang, Bernd Girod",2002-03-05,2003-03-05,2008-01-29,2008-01-29,https://patents.google.com/patent/US7324444B1/en
US7323692B2,Flat-panel detector with avalanche gain ,"Research Foundation Of State University Of New York, Sunnybrook And Woman's College Health Sciences Center","John A. Rowlands, Wei Zhao",2004-08-10,2005-08-10,2008-01-29,2008-01-29,https://patents.google.com/patent/US7323692B2/en
US7322972B2,"In vivo port wine stain, burn and melanin depth determination using a photoacoustic probe ",The Regents Of The University Of California,"John A. Viator, Steven L. Jacques, J. Stuart Nelson, Guenther Paltauf",2002-04-10,2003-02-07,2008-01-29,2008-01-29,https://patents.google.com/patent/US7322972B2/en
US7332271B2,Apparatus and methods for parallel processing of micro-volume liquid reactions ,Board Of Trustees Of The Leland Stanford Junior University,"Matthew O'Keefe, Pamela K. Foreman",2000-02-18,2001-02-20,2008-02-19,2008-02-19,https://patents.google.com/patent/US7332271B2/en
US7336984B2,Membrane and electrode structure for implantable sensor ,The Regents Of The University Of California,"David A. Gough, Joseph Y. Lucisano",2001-02-15,2003-11-20,2008-02-26,2008-02-26,https://patents.google.com/patent/US7336984B2/en
US7321052B2,Process for production of a composition useful as a fuel ,Board Of Trustees Of Michigan State University,"Dennis J. Miller, Lars Peereboom, Aspi K. Kolah, Navinchandra S. Asthana, Carl T. Lira",2005-03-01,2006-02-28,2008-01-22,2008-01-22,https://patents.google.com/patent/US7321052B2/en
US7330531B1,System for quantitative radiographic imaging ,University Of Massachusetts Medical Center,Andrew Karellas,1989-12-05,1995-05-11,2008-02-12,2008-02-12,https://patents.google.com/patent/US7330531B1/en
US7331616B2,Hood latch assemblies utilizing active materials and methods of use ,"General Motors Corporation, University Of Michigan","Diann Brei, John Redmond, Nathan A. Wilmot, Alan L. Browne, Nancy L. Johnson, Gary L. Jones",2004-07-15,2004-07-15,2008-02-19,2008-02-19,https://patents.google.com/patent/US7331616B2/en
US7348776B1,Motion corrected magnetic resonance imaging ,The Board Of Trustees Of The Leland Stanford Junior University,"Murat AKSOY, Chunlei Liu, Rexford NEWBOULD, Roland Bammer",2006-09-01,2006-09-01,2008-03-25,2008-03-25,https://patents.google.com/patent/US7348776B1/en
US7323964B1,Non-contact power system with load and gap detection ,National Central University,"Kuo-Kai Shyu, Ko-Wen Jwo, Chih-Hung Lo",2006-11-23,2006-12-01,2008-01-29,2008-01-29,https://patents.google.com/patent/US7323964B1/en
US7341738B2,Lipid-encapsulated polyanionic nucleic acid ,The University Of British Columbia,"Sean C. Semple, Sandra K. Klimuk, Troy Harasym, Michael J. Hope, Steven M. Ansell, Pieter Cullis, Peter Scherrer, Dan Debeyer",1997-05-14,2003-09-09,2008-03-11,2008-03-11,https://patents.google.com/patent/US7341738B2/en
US7327822B2,"Methods, apparatus, and software for reconstructing an image ","Purdue Research Foundation, University Of Notre Dame Du Lac, General Electric Company","Ken David Sauer, Charles Addison Bouman, Jiang Hsieh, Jean-Baptiste Thibault",2005-07-20,2005-07-20,2008-02-05,2008-02-05,https://patents.google.com/patent/US7327822B2/en
US7332580B2,Bispecific single chain Fv antibody molecules and methods of use thereof ,"The Regents Of The University Of California, Fox Chase Cancer Center","Gregory P. Adams, Eva M. Horak, Louis M. Weiner, James D. Marks",2002-04-05,2003-04-04,2008-02-19,2008-02-19,https://patents.google.com/patent/US7332580B2/en
US7340671B2,Decoding low density parity codes ,Regents Of The University Of California,"Christopher R. Jones, John D. Villasenor",2003-10-10,2004-10-08,2008-03-04,2008-03-04,https://patents.google.com/patent/US7340671B2/en
US7345159B2,Massive parallel method for decoding DNA and RNA ,The Trustees Of Columbia University In The City Of New York,"Jingyue Ju, Zengmin Li, John Robert Edwards, Yasuhiro Itagaki",2000-10-06,2003-11-06,2008-03-18,2008-03-18,https://patents.google.com/patent/US7345159B2/en
US7319038B2,Sensor for monitoring an analyte ,The Johns Hopkins University,Glen E. Southard,2002-09-19,2003-09-17,2008-01-15,2008-01-15,https://patents.google.com/patent/US7319038B2/en
US7331994B2,Intervertebral disc replacement prosthesis ,Vanderbilt University,"Jeffrey D. Gordon, John K. Song",1999-05-17,2004-07-30,2008-02-19,2008-02-19,https://patents.google.com/patent/US7331994B2/en
US7332285B2,Detection of nucleic acid sequence differences using coupled ligase detection and polymerase chain reactions ,"Cornell Research Foundation, Inc., Regents Of The University Of Minnesota, Board Of Supervisors Of Louisiana State University And Agricultural And Mechanical College","Francis Barany, Matthew Lubin, George Barany, Robert P. Hammer",1996-05-29,2006-10-31,2008-02-19,2008-02-19,https://patents.google.com/patent/US7332285B2/en
US7317950B2,Cardiac stimulation system with delivery of conductive agent ,The Regents Of The University Of California,Randall J. Lee,2002-11-16,2003-02-24,2008-01-08,2008-01-08,https://patents.google.com/patent/US7317950B2/en
