search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20120601&after=publication:20120501&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8169002B2,High electron mobility transistor and method for fabricating the same ,National Chiao Tung University,"Edward Yi Chang, Chien-I Kuo, Heng-Tung Hsu",2009-12-31,2010-04-13,2012-05-01,2012-05-01,https://patents.google.com/patent/US8169002B2/en
US8168561B2,Core shell catalyst ,University Of Utah Research Foundation,Anil V. Virkar,2008-07-31,2009-07-31,2012-05-01,2012-05-01,https://patents.google.com/patent/US8168561B2/en
US8183345B2,Recombinant factor VIII having reduced inactivation by activated protein C ,University Of Rochester,"Philip J. Fay, Hironao Wakabayashi, Fatbardha Varfaj",2007-11-01,2008-07-25,2012-05-22,2012-05-22,https://patents.google.com/patent/US8183345B2/en
US8185192B2,Correcting for distortion in a tracking system ,"Regents Of The University Of Minnesota, Medtronic, Inc.","H. Toby Markowitz, David Scanlon, Mustafa Karamanoglu, Karl Evan Nowak, Chad Giese",2008-04-18,2009-04-15,2012-05-22,2012-05-22,https://patents.google.com/patent/US8185192B2/en
US8178660B2,Vaccines and immunotherapeutics using codon optimized IL-15 and methods for using the same ,The Trustees Of The University Of Pennsylvania,"David B. Weiner, Michele Kutzler",2006-01-13,2007-01-12,2012-05-15,2012-05-15,https://patents.google.com/patent/US8178660B2/en
US8183352B2,Attenuated vif DNA immunization cassettes for genetic vaccines ,The Trustees Of The University Of Pennsylvania,"Velpandi Ayyavoo, Thanadavarayan Nagashunmugam, David B. Weiner",1997-09-18,2006-12-15,2012-05-22,2012-05-22,https://patents.google.com/patent/US8183352B2/en
US8178202B2,Nonconcentric nanoshells with offset core in relation to shell and method of using the same ,William Marsh Rice University,"Nancy J. Halas, Hui Wang, Peter J. Nordlander, Yanpeng Wu",2006-06-21,2007-06-20,2012-05-15,2012-05-15,https://patents.google.com/patent/US8178202B2/en
US8175702B2,Method for low-voltage termination of cardiac arrhythmias by effectively unpinning anatomical reentries ,The Washington University,"Igor R. Efimov, Valentin I. Krinski, Vladimir P. Nikolski",2004-11-04,2005-11-03,2012-05-08,2012-05-08,https://patents.google.com/patent/US8175702B2/en
US8167944B2,Systems and methods for posterior dynamic stabilization of the spine ,The Board Of Trustees Of The Leland Stanford Junior University,Daniel H. Kim,2004-10-20,2004-10-20,2012-05-01,2012-05-01,https://patents.google.com/patent/US8167944B2/en
US8187878B2,Methods for increasing definitive endoderm differentiation of pluripotent human embryonic stem cells with PI-3 kinase inhibitors ,"University Of Georgia Research Foundation, Inc., Viacyte, Inc.","Stephen Dalton, Allan Sheppard, Karen Jones, E. Edward Baetge, Kevin A. D'Amour, Alan D. Agulnick",2004-08-13,2005-08-15,2012-05-29,2012-05-29,https://patents.google.com/patent/US8187878B2/en
US8190248B2,"Medical devices for the detection, prevention and/or treatment of neurological disorders, and methods related thereto ","Louisiana Tech University Foundation, Inc., Board Of Supervisors Of Louisiana State University","Walter G. Besio, Mohammed Fasiuddin, Ravish Patwardhan",2003-10-16,2005-10-17,2012-05-29,2012-05-29,https://patents.google.com/patent/US8190248B2/en
US8182786B2,"Nano-sized particles, processes of making, compositions and uses thereof ",The Trustees Of Columbia University In The City Of New York,"Stephen O'Brien, Ming Yin",2003-12-11,2006-06-12,2012-05-22,2012-05-22,https://patents.google.com/patent/US8182786B2/en
US8188058B2,"Use of toll-like receptor-9 agonists, toll-like receptor-4 antagonists, and/or nuclear oligomerization domain-2 agonists for the treatment or prevention of toll-like receptor-4-associated disorders ",University of Pittsburgh—of the Commonwealth System of Higher Education,"David J. Hackam, Steven C. Gribar",2007-04-19,2008-04-17,2012-05-29,2012-05-29,https://patents.google.com/patent/US8188058B2/en
US8168850B2,Methods for the treatment or prevention of scars and/or keloids ,The Board Of Trustees Of The Leland Stanford Junior University,"Geoffrey C. GURTNER, Reinhold H. Dauskardt, Michael T. Longaker, Paul Yock",2006-08-03,2009-01-22,2012-05-01,2012-05-01,https://patents.google.com/patent/US8168850B2/en
US8168583B2,2-fluoronucleosides ,"University Of Georgia Research Foundation, Inc., Emory University","Raymond F. Schinazi, Dennis C. Liotta, Chung K. Chu, J. Jeffrey McAtee, Junxing Shi, Yongseok Choi, Kyeong Lee, Joon H. Hong",1998-02-25,2009-07-27,2012-05-01,2012-05-01,https://patents.google.com/patent/US8168583B2/en
US8178862B2,Junctionless metal-oxide-semiconductor transistor ,"University College Cork, National University Of Ireland Cork",Jean-Pierre Colinge,2008-09-05,2010-04-02,2012-05-15,2012-05-15,https://patents.google.com/patent/US8178862B2/en
US8180590B2,Railroad surveying and monitoring system ,Marshall University Research Corporation,"Anthony B. Szwilski, Richard D. Begley",2003-10-06,2004-10-06,2012-05-15,2012-05-15,https://patents.google.com/patent/US8180590B2/en
US8190233B2,System for delivering conformal radiation therapy while simultaneously imaging soft tissue ,"University Of Florida Research Foundation, Inc.",James F. Dempsey,2004-02-20,2009-10-30,2012-05-29,2012-05-29,https://patents.google.com/patent/US8190233B2/en
US8179073B2,Robotic devices with agent delivery components and related methods ,The Board Of Regents Of The University Of Nebraska,"Shane M. Farritor, Dmitry Oleynikov, Stephen R. Platt, Mark Rentschler, Jason Dumpert, Adnan Hadzialic, Nathan A. Wood",2003-07-08,2011-05-13,2012-05-15,2012-05-15,https://patents.google.com/patent/US8179073B2/en
US8169322B1,Low profile metal-surface mounted RFID tag antenna ,"Iowa State University Research Foundation, Inc.","Sanyi Zhan, Robert J. Weber",2008-11-07,2008-11-07,2012-05-01,2012-05-01,https://patents.google.com/patent/US8169322B1/en
US8168337B2,"Electrochemical cell, and particularly a metal fueled cell with non-parallel flow ",Arizona Board Of Regents For And On Behalf Of Arizona State University,"Cody A. FRIESEN, Joel R. Hayes",2008-04-04,2009-04-01,2012-05-01,2012-05-01,https://patents.google.com/patent/US8168337B2/en
US8178495B2,Therapeutic agents comprising a GLP-1 receptor agonist and elastin-like peptide ,Duke University,Ashutosh Chilkoti,2008-06-27,2009-06-29,2012-05-15,2012-05-15,https://patents.google.com/patent/US8178495B2/en
