search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20091001&after=publication:20090701&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7557367B2,Stretchable semiconductor elements and stretchable electrical circuits ,The Board Of Trustees Of The University Of Illinois,"John A. Rogers, Dahl-Young Khang, Etienne Menard",2004-06-04,2005-06-02,2009-07-07,2009-07-07,https://patents.google.com/patent/US7557367B2/en
US7575602B2,System and method for prosthetic fitting and balancing in joints ,The Board Of Trustees Of The University Of Illinois,"Farid Amirouche, Mark H. Gonzalez",2002-03-19,2003-03-19,2009-08-18,2009-08-18,https://patents.google.com/patent/US7575602B2/en
US7583275B2,Modeling and video projection for augmented virtual environments ,University Of Southern California,"Ulrich Neumann, Suya You",2002-10-15,2003-09-30,2009-09-01,2009-09-01,https://patents.google.com/patent/US7583275B2/en
US7595883B1,Biological analysis arrangement and approach therefor ,The Board Of Trustees Of The Leland Stanford Junior University,"Abbas El Gamal, Helmy Eltoukhy, Khaled Salama",2002-09-16,2003-09-16,2009-09-29,2009-09-29,https://patents.google.com/patent/US7595883B1/en
US7580753B2,Method and system for stimulating a dorsal root ganglion ,"Spinal Modulation, Inc., The Board Of Trustees Of The Leland Stanford Junior University","Daniel H. Kim, Mir A. Imran",2004-09-08,2005-09-07,2009-08-25,2009-08-25,https://patents.google.com/patent/US7580753B2/en
US7565295B1,Method and apparatus for translating hand gestures ,The George Washington University,Jose L. Hernandez-Rebollar,2003-08-28,2004-08-27,2009-07-21,2009-07-21,https://patents.google.com/patent/US7565295B1/en
US7589334B2,Ion beam delivery equipment and an ion beam delivery method ,"Hitachi, Ltd., Board Of Regents, University Of Texas System","Kazuo Hiramoto, Hiroshi Akiyama, Masaki Yanagisawa, Hisataka Fujimaki, Alfred Smith, Wayne Newhauser",2005-01-24,2007-03-06,2009-09-15,2009-09-15,https://patents.google.com/patent/US7589334B2/en
US7557824B2,Method and apparatus for generating a stereoscopic image ,University Of Durham,Nicolas S. Holliman,2003-12-18,2004-12-17,2009-07-07,2009-07-07,https://patents.google.com/patent/US7557824B2/en
US7561143B1,Using gaze actions to interact with a display ,The University of the Arts,Slavoljub Milekic,2004-03-19,2005-03-11,2009-07-14,2009-07-14,https://patents.google.com/patent/US7561143B1/en
US7556776B2,Microfluidic manipulation of fluids and reactions ,"President And Fellows Of Harvard College, Brandeis University","Seth Fraden, Darren Roy Link, Galder Cristobal-Azkarate, Jung uk Shim, David A. Weitz",2005-09-08,2005-09-08,2009-07-07,2009-07-07,https://patents.google.com/patent/US7556776B2/en
US7582798B2,Covalently linked organic frameworks and polyhedra ,The Regents Of The University Of Michigan,"Omar M. Yaghi, Adam J. Matzger, Annabelle Benin, Adrien P. Cöte",2004-10-22,2005-10-24,2009-09-01,2009-09-01,https://patents.google.com/patent/US7582798B2/en
US7563584B2,Methods and compositions for detecting the activation state of multiple proteins in single cells ,The Board Of Trustees Of The Leland Stanford Junior University,"Omar D. Perez, Garry P. Nolan",2001-07-10,2002-07-10,2009-07-21,2009-07-21,https://patents.google.com/patent/US7563584B2/en
US7585349B2,Methods of nanostructure formation and shape selection ,The University Of Washington,"Younan Xia, Yugang Sun",2002-12-09,2003-12-09,2009-09-08,2009-09-08,https://patents.google.com/patent/US7585349B2/en
US7567596B2,Control system and apparatus for use with ultra-fast laser ,Board Of Trustees Of Michigan State University,"Marcos Dantus, Igor Pastirk, Vadim V. Lozovoy, Matthew Comstock",2001-01-30,2005-07-08,2009-07-28,2009-07-28,https://patents.google.com/patent/US7567596B2/en
US7575768B2,Dietary supplements and prepared foods containing triglyceride-recrystallized non-esterified phytosterols ,Brandeis University,"Daniel Perlman, Kenneth Hayes, Andrzej Pronczuk",2005-09-07,2005-09-07,2009-08-18,2009-08-18,https://patents.google.com/patent/US7575768B2/en
US7565340B2,Methods for assisting computer users performing multiple tasks ,The State Of Oregon Acting By And Through The State Board Of Higher Education On Behalf Of Oregon State University,"Jonathan L. Herlocker, Thomas G. Dietterich",2006-01-09,2006-05-30,2009-07-21,2009-07-21,https://patents.google.com/patent/US7565340B2/en
US7581856B2,High power LED lighting assembly incorporated with a heat dissipation module with heat pipe ,Tamkang University,"Shung-Wen Kang, Meng-Chang Tsai, Kun-Cheng Chien",2007-04-11,2007-04-11,2009-09-01,2009-09-01,https://patents.google.com/patent/US7581856B2/en
US7593559B2,Method and system of coregistrating optical coherence tomography (OCT) with other clinical tests ,Duke University,"Cynthia A. Toth, Marcin Stopa, Bradley A. Bower",2005-11-18,2006-11-17,2009-09-22,2009-09-22,https://patents.google.com/patent/US7593559B2/en
US7591996B2,Ultrasound target vessel occlusion using microbubbles ,University Of Washington,"Joo Ha Hwang, Andrew Brayman",2005-08-17,2005-08-17,2009-09-22,2009-09-22,https://patents.google.com/patent/US7591996B2/en
US7569941B2,Methods of fabricating nanostructures and nanowires and devices fabricated therefrom ,The Regents Of The University Of California,"Arun Majumdar, Ali Shakouri, Timothy D. Sands, Peidong Yang, Samuel S. Mao, Richard E. Russo, Henning Feick, Eicke R. Weber, Hannes Kind, Michael Huang, Haoquan Yan, Yiying Wu, Rong Fan",2001-03-30,2006-12-22,2009-08-04,2009-08-04,https://patents.google.com/patent/US7569941B2/en
US7583747B1,"Method of systematic construction of space-time constellations, system and method of transmitting space-time constellations ","University Of Alberta, The Ohio State University","Mohamed O. Damen, Norman C. BEAULIEU, Hesham El Gamal",2004-03-31,2005-03-31,2009-09-01,2009-09-01,https://patents.google.com/patent/US7583747B1/en
US7588566B2,Electrothermal instrument for sealing and joining or cutting tissue ,The Trustees Of Columbia University In The City Of New York,"Michael R. Treat, Fred H. Co, George D. Hermann, Thomas A. Howell, Theodore R. Kucklick, Michelle Y. Monfort, Kenneth H. Mollenauer",1997-03-05,2007-04-30,2009-09-15,2009-09-15,https://patents.google.com/patent/US7588566B2/en
US7569380B2,Simultaneous anaerobic production of isoamyl acetate and succinic acid ,Rice University,"Ka-Yiu San, Ailen Sanchez, George N. Bennett, Cheryl Renee Dittrich",2004-12-22,2005-12-22,2009-08-04,2009-08-04,https://patents.google.com/patent/US7569380B2/en
US7569425B2,Method for manufacturing thermal interface material with carbon nanotubes ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Hua Huang, Chang-Hong Liu, Shou-Shan Fan",2004-04-02,2006-11-03,2009-08-04,2009-08-04,https://patents.google.com/patent/US7569425B2/en
US7580551B1,Method and apparatus for analyzing and/or comparing handwritten and/or biometric samples ,The Research Foundation Of State University Of Ny,"Sargur Srihari, Yong-Chul Shin, Sangjik Lee, Venugoal Govindaraju, Sung-Hyuk Cha, Catalin I. Tomai, Bin Zhang, Ajay Shekhawat, Dave Bartnik, Wen-jann Yang, Srirangaraj Setlur, Phil Kilinskas, Fred Kunderman, Xia Liu, Zhixin Shi, Vemulapati Ramanaprasad",2003-06-30,2003-06-30,2009-08-25,2009-08-25,https://patents.google.com/patent/US7580551B1/en
US7582857B2,Sensor and polarimetric filters for real-time extraction of polarimetric information at the focal plane ,The Trustees Of The University Of Pennsylvania,"Viktor Gruev, Jan Van der Spiegel, Nader Engheta",2006-04-18,2006-04-18,2009-09-01,2009-09-01,https://patents.google.com/patent/US7582857B2/en
US7590236B1,Identity-based-encryption system ,"Voltage Security, Inc., The Board Of Trustees Of The Leland Stanford Junior University","Dan Boneh, Xavier Boyen",2004-06-04,2005-03-25,2009-09-15,2009-09-15,https://patents.google.com/patent/US7590236B1/en
