search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20041001&after=publication:20040701&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6777231B1,Adipose-derived stem cells and lattices ,The Regents Of The University Of California,"Adam J. Katz, Ramon Llull, William J. Futrell, Marc H. Hedrick, Prosper Benhaim, Hermann Peter Lorenz, Min Zhu",1999-03-10,2000-03-10,2004-08-17,2004-08-17,https://patents.google.com/patent/US6777231B1/en
US6792979B2,Methods for creating woven devices ,"Board Of Regents, The University Of Texas System","Andras Konya, Hideki Hyodoh, Kenneth C. Wright",1999-02-01,2002-09-16,2004-09-21,2004-09-21,https://patents.google.com/patent/US6792979B2/en
US6790425B1,Macroscopic ordered assembly of carbon nanotubes ,Wiliam Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Ken A. Smith, Deron A. Walters, Michael J. Casavant, Chad B. Huffman, Boris I. Yakobson, Robert H. Hague, Rajesh Kumar Saini, Wan-Ting Chiang",1999-10-27,2000-10-27,2004-09-14,2004-09-14,https://patents.google.com/patent/US6790425B1/en
US6766183B2,Long wave fluorophore sensor compounds and other fluorescent sensor compounds in polymers ,"Medtronic Minimed, Inc., The Regents Of The University Of California","Joseph C. Walsh, Aaron M. Heiss, Glenn Noronha, David J. Vachon, Stephen M. Lane, Joe H. Satcher, Jr., Thomas A. Peyser, William Peter Van Antwerp, John Joseph Mastrototaro",1995-11-22,2001-12-28,2004-07-20,2004-07-20,https://patents.google.com/patent/US6766183B2/en
US6799066B2,Technique for manipulating medical images ,The Board Of Trustees Of The Leland Stanford Junior University,"Daniel Steines, Philipp Lang",2000-09-14,2001-09-14,2004-09-28,2004-09-28,https://patents.google.com/patent/US6799066B2/en
US6799176B1,Method for scoring documents in a linked database ,The Board Of Trustees Of The Leland Stanford Junior University,Lawrence Page,1997-01-10,2001-07-06,2004-09-28,2004-09-28,https://patents.google.com/patent/US6799176B1/en
US6780178B2,Method and apparatus for plasma-mediated thermo-electrical ablation ,The Board Of Trustees Of The Leland Stanford Junior University,"Daniel V. Palanker, Alexander B. Vankov",2002-05-03,2002-05-03,2004-08-24,2004-08-24,https://patents.google.com/patent/US6780178B2/en
US6761870B1,Gas-phase nucleation and growth of single-wall carbon nanotubes from high pressure CO ,William Marsh Rice University,"Richard E. Smalley, Ken A. Smith, Daniel T. Colbert, Pavel Nikolaev, Michael J. Bronikowski, Robert K. Bradley, Frank Rohmund",1998-11-03,2002-07-01,2004-07-13,2004-07-13,https://patents.google.com/patent/US6761870B1/en
US6775404B1,Apparatus and method for interactive 3D registration of ultrasound and magnetic resonance images based on a magnetic position sensor ,University Of Washington,"Niko Pagoulatos, David R. Haynor, Warren S. Edwards, Yongmin Kim",1999-03-18,2000-03-15,2004-08-10,2004-08-10,https://patents.google.com/patent/US6775404B1/en
US6759431B2,Compositions and methods for treating or preventing diseases of body passageways ,"Angiotech Pharmaceuticals, Inc., The University Of British Columbia","William L. Hunter, Lindsay S. Machan",1996-05-24,2001-08-20,2004-07-06,2004-07-06,https://patents.google.com/patent/US6759431B2/en
US6776165B2,"Magnetic navigation system for diagnosis, biopsy and drug delivery vehicles ",The Regents Of The University Of California,Sungho Jin,2002-09-12,2002-09-12,2004-08-17,2004-08-17,https://patents.google.com/patent/US6776165B2/en
US6765569B2,Augmented-reality tool employing scene-feature autocalibration during camera motion ,University Of Southern California,"Ulrich Neumann, Suya You",2001-03-07,2001-09-25,2004-07-20,2004-07-20,https://patents.google.com/patent/US6765569B2/en
