search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20090401&after=publication:20090101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7510536B2,Ultrasound guided high intensity focused ultrasound treatment of nerves ,University Of Washington,"Jessica L. Foley, Shahram Vaezy, James W. Little",1999-09-17,2004-12-16,2009-03-31,2009-03-31,https://patents.google.com/patent/US7510536B2/en
US7476238B2,Dynamic spine stabilizer ,Yale University,Manohar M. Panjabi,2003-05-02,2005-03-24,2009-01-13,2009-01-13,https://patents.google.com/patent/US7476238B2/en
US7492241B2,Contour-mode piezoelectric micromechanical resonators ,The Regents Of The University Of California,"Gianluca Piazza, Philip J. Stephanou, Albert P. Pisano",2005-06-02,2005-06-02,2009-02-17,2009-02-17,https://patents.google.com/patent/US7492241B2/en
US7488490B2,Method of inducing an antigen-specific immune response by administering a synergistic combination of adjuvants comprising unmethylated CpG-containing nucleic acids and a non-nucleic acid adjuvant ,University Of Iowa Research Foundation,"Heather L. Davis, Joachim Schorr, Arthur M. Krieg",1997-03-10,2001-12-18,2009-02-10,2009-02-10,https://patents.google.com/patent/US7488490B2/en
US7479774B2,High-performance solar photovoltaic (PV) energy conversion system ,Yuan Ze University,"Rong-Jong Wai, Wen-Hung Wang",2006-04-07,2006-04-07,2009-01-20,2009-01-20,https://patents.google.com/patent/US7479774B2/en
US7510695B2,Method for forming a patterned array of fullerene nanotubes ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Hongjie Dai, Jie Liu, Andrew G. Rinzler, Jason H. Hafner, Ken Smith, Ting Guo, Pavel Nikolaev, Andreas Thess",1997-03-07,2006-08-22,2009-03-31,2009-03-31,https://patents.google.com/patent/US7510695B2/en
US7491892B2,Stretchable and elastic interconnects ,Princeton University,"Sigurd Wagner, Stephanie Perichon Lacour, Zhigang Suo",2003-03-28,2003-03-28,2009-02-17,2009-02-17,https://patents.google.com/patent/US7491892B2/en
US7487544B2,System and methods for detection of new malicious executables ,The Trustees Of Columbia University In The City Of New York,"Matthew G. Schultz, Eleazar Eskin, Erez Zadok, Manasi Bhattacharyya, Stolfo J. Salvatore",2001-07-30,2002-07-30,2009-02-03,2009-02-03,https://patents.google.com/patent/US7487544B2/en
US7490268B2,Methods and systems for repairing applications ,The Trustees Of Columbia University In The City Of New York,"Angelos D. Keromytis, Michael Locasto, Stylianos Sidiroglou",2004-06-01,2005-06-01,2009-02-10,2009-02-10,https://patents.google.com/patent/US7490268B2/en
US7477802B2,Robust reconstruction of high resolution grayscale images from a sequence of low resolution frames ,"The Regents Of The University Of California, Santa Cruz","Peyman Milanfar, Sina Farsiu, Michael Elad, Michael D. Robinson",2004-12-16,2006-11-16,2009-01-13,2009-01-13,https://patents.google.com/patent/US7477802B2/en
