search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20090701&after=publication:20090401&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7521292B2,Stretchable form of single crystal silicon for high performance electronics on rubber substrates ,The Board Of Trustees Of The University Of Illinois,"John A. Rogers, Dahl-Young Khang, Yugang Sun",2004-06-04,2006-06-09,2009-04-21,2009-04-21,https://patents.google.com/patent/US7521292B2/en
US7530948B2,Tethered capsule endoscope for Barrett's Esophagus screening ,University Of Washington,"Eric J. Seibel, Michael Kimmey, Richard S. Johnston",2005-02-28,2005-02-28,2009-05-12,2009-05-12,https://patents.google.com/patent/US7530948B2/en
US7534505B2,Organometallic compounds for use in electroluminescent devices ,"The University Of Southern California, Universal Display Corporation","Chun Lin, Jui-Yi Tsai, Jason Brooks, Bert Alleyne, Mark E. Thompson, Peter Djurovich, Arnold Tamayo, Tissa Sajoto, Robert Walters",2004-05-18,2005-01-10,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534505B2/en
US7515740B2,Face recognition with combined PCA-based datasets ,"Fotonation Vision Limited, National University Of Ireland","Peter Corcoran, Gabriel N. Costache",2006-08-02,2007-08-02,2009-04-07,2009-04-07,https://patents.google.com/patent/US7515740B2/en
US7538946B2,Metamaterials ,The Regents Of The University Of California,"David R. Smith, David Schurig, Anthony F. Starr, Jack J. Mock",2004-07-23,2005-07-22,2009-05-26,2009-05-26,https://patents.google.com/patent/US7538946B2/en
US7547380B2,Droplet transportation devices and methods having a fluid surface ,North Carolina State University,Orlin Velev,2003-01-13,2004-01-12,2009-06-16,2009-06-16,https://patents.google.com/patent/US7547380B2/en
US7517861B2,Immunostimulatory nucleic acid molecules ,University Of Iowa Research Foundation,"Arthur M. Krieg, Joel N. Kline",1994-07-15,2004-07-09,2009-04-14,2009-04-14,https://patents.google.com/patent/US7517861B2/en
US7522344B1,Projection-based head-mounted display with eye-tracking capabilities ,"University Of Central Florida Research Foundation, Inc.","Costin E. Curatu, Jannick P. Rolland",2005-12-14,2006-12-08,2009-04-21,2009-04-21,https://patents.google.com/patent/US7522344B1/en
US7541012B2,Catalytic material and method of production thereof ,The Hong Kong University Of Science And Technology,"King Lun YEUNG, Nan Yao, Ka Yee HO",2004-07-07,2004-07-07,2009-06-02,2009-06-02,https://patents.google.com/patent/US7541012B2/en
US7534449B2,Targeted and high density drug loaded polymeric materials ,Yale University,"William Mark Saltzman, Tarek Fahmy, Peter Fong",2004-07-01,2005-06-30,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534449B2/en
US7524828B2,Immunostimulatory nucleic acid molecules ,University Of Iowa Research Foundation,"Arthur M. Krieg, Joel N. Kline",1994-07-15,2004-08-18,2009-04-28,2009-04-28,https://patents.google.com/patent/US7524828B2/en
US7548775B2,Intracranial neural interface system ,The Regents Of The University Of Michigan,"Daryl R. Kipke, Justin C. Williams, Jamille Hetke, Jaimie Henderson, P. Charles Garell",2003-10-21,2004-10-21,2009-06-16,2009-06-16,https://patents.google.com/patent/US7548775B2/en
US7534622B2,Electron transfer dissociation for biopolymer sequence mass spectrometric analysis ,University Of Virginia Patent Foundation,"Donald F. Hunt, Joshua J. Coon, John Edward Philip Syka, Jarrod A. Marto",2004-03-12,2005-03-14,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534622B2/en
US7545965B2,Image modification and detection using massive training artificial neural networks (MTANN) ,The University Of Chicago,"Kenji Suzuki, Kunio Doi",2003-11-10,2003-11-10,2009-06-09,2009-06-09,https://patents.google.com/patent/US7545965B2/en
US7534772B2,Methods for enhancing antibody-induced cell lysis and treating cancer ,"University Of Iowa Research Foundation, Coley Pharmaceutical Gmbh","George Weiner, Gunther Hartmann",2000-06-22,2001-06-22,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534772B2/en
US7522124B2,Indefinite materials ,The Regents Of The University Of California,"David R. Smith, David Schurig",2002-08-29,2003-08-29,2009-04-21,2009-04-21,https://patents.google.com/patent/US7522124B2/en
US7522673B2,Space-time coding using estimated channel information ,Regents Of The University Of Minnesota,"Georgios B. Giannakis, Shengli Zhou",2002-04-22,2003-04-21,2009-04-21,2009-04-21,https://patents.google.com/patent/US7522673B2/en
US7515953B2,Techniques for identifying molecular structures and treating cell types lining a body lumen using fluorescence ,The Johns Hopkins University,"Igal Madar, John C. Murphy",2002-08-01,2003-08-01,2009-04-07,2009-04-07,https://patents.google.com/patent/US7515953B2/en
US7553560B2,Organometallic compounds and emission-shifting organic electrophosphorescence ,"The Trustees Of Princeton University, The University Of Southern California, Universal Display Corporation","Sergey Lamansky, Mark E. Thompson, Vadim Adamovich, Peter I. Djurovich, Chihaya Adachi, Marc A. Baldo, Stephen R. Forrest, Raymond Kwong",2000-08-11,2008-05-06,2009-06-30,2009-06-30,https://patents.google.com/patent/US7553560B2/en
US7534453B1,Cerium oxide nanoparticles and use in enhancing cell survivability ,"University Of Central Florida Research Foundation, Inc.","Beverly A. Rzigalinski, Sudipta Seal, David Bailey, Swanand Patil",2002-09-05,2003-09-04,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534453B1/en
US7552033B1,System and method for diagnostically evaluating energy consumption systems and components of a facility ,The Texas A&M University System,"Charles H. Culp, David E. Claridge, Jeffrey S. Haberl, William D. Turner, Mingsheng Liu",2001-12-20,2001-12-20,2009-06-23,2009-06-23,https://patents.google.com/patent/US7552033B1/en
US7531149B2,Synthetic control of metal oxide nanocrystal sizes and shapes ,The Board Of Trustees Of The University Of Arkansas,"Xiaogang Peng, Yongfen Chen, Nikhil Jana, Arun Narayanaswamy",2003-10-14,2005-08-16,2009-05-12,2009-05-12,https://patents.google.com/patent/US7531149B2/en
US7536277B2,"Intelligent model-based diagnostics for system monitoring, diagnosis and maintenance ","University Of Connecticut, Toyota Technical Center, U.S.A., Inc.","Krishna R. Pattipatti, Jianhui Luo, Liu Qiao, Shunsuke Chigusa",2004-04-21,2007-02-28,2009-05-19,2009-05-19,https://patents.google.com/patent/US7536277B2/en
US7537844B2,Organometallic complexes as phosphorescent emitters in organic leds ,"The Trustees Of Princeton University, The University Of Southern California","Mark E. Thompson, Peter Djurovic, Sergey Lamansky, Drew Murphy, Raymond Kwong, Feras Abdel-Razzaq, Stephen R. Forrest, Marc A. Baldo, Paul E. Burrows",1999-03-23,2007-07-16,2009-05-26,2009-05-26,https://patents.google.com/patent/US7537844B2/en
