search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20051001&after=publication:20050701&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6921413B2,Methods and devices for optical stimulation of neural tissues ,Vanderbilt University,"Anita Mahadevan-Jansen, Karthikeyan Mariappan, Peter Konrad",2000-08-16,2001-08-15,2005-07-26,2005-07-26,https://patents.google.com/patent/US6921413B2/en
US6940832B2,Routing method for mobile infrastructureless network ,The Research Foundation Of The City University Of New York,"Tarek Saadawi, Osama Hussein",2003-01-17,2003-01-17,2005-09-06,2005-09-06,https://patents.google.com/patent/US6940832B2/en
US6942018B2,Electroosmotic microchannel cooling system ,The Board Of Trustees Of The Leland Stanford Junior University,"Kenneth E. Goodson, Chuan-Hua Chen, David E. Huber, Linan Jiang, Thomas W. Kenny, Jae-Mo Koo, Daniel J. Laser, James C. Mikkelsen, Juan G. Santiago, Evelyn Ning-Yi Wang, Shulin Zeng, Lian Zhang",2001-09-28,2002-01-19,2005-09-13,2005-09-13,https://patents.google.com/patent/US6942018B2/en
US6917985B2,Core assisted mesh protocol for multicast routing in ad-hoc Networks ,The Regents Of The University Of California,"Ewerton L. Madruga, Joaquin J. Garcia-Luna-Aceves",2000-03-10,2001-03-09,2005-07-12,2005-07-12,https://patents.google.com/patent/US6917985B2/en
US6944673B2,Method and system for profiling network flows at a measurement point within a computer network ,The Regents Of The University Of Michigan,"Gerald R. Malan, Farnam Jahanian",2000-09-08,2001-05-15,2005-09-13,2005-09-13,https://patents.google.com/patent/US6944673B2/en
US6927694B1,Algorithm for monitoring head/eye motion for driver alertness with one camera ,Research Foundation Of The University Of Central Florida,"Raymond Paul Smith, Mubarak Shah, Niels da Vitoria Lobo",2001-08-20,2002-08-16,2005-08-09,2005-08-09,https://patents.google.com/patent/US6927694B1/en
US6918946B2,Applications of light-emitting nanoparticles ,"Board Of Regents, The University Of Texas System","Brian A. Korgel, Paul Thurk, Keith P. Johnston",2001-07-02,2002-03-28,2005-07-19,2005-07-19,https://patents.google.com/patent/US6918946B2/en
US6923763B1,Method and apparatus for predicting the risk of hypoglycemia ,University Of Virginia Patent Foundation,"Boris P. Kovatchev, J. Randall Moorman, William L. Clarke, Martin Straume",1999-08-23,2000-08-21,2005-08-02,2005-08-02,https://patents.google.com/patent/US6923763B1/en
US6927049B2,Cell viability detection using electrical measurements ,The Regents Of The University Of California,"Boris Rubinsky, Yong Huang",1999-07-21,2002-02-19,2005-08-09,2005-08-09,https://patents.google.com/patent/US6927049B2/en
US6921615B2,High-resolution overlay alignment methods for imprint lithography ,"Board Of Regents, The University Of Texas System","Sidlgata V. Sreenivasan, Byung J. Choi, Matthew Colburn, Todd Bailey",2000-07-16,2001-07-16,2005-07-26,2005-07-26,https://patents.google.com/patent/US6921615B2/en
US6927922B2,Imaging using a multifocal aspheric lens to obtain extended depth of field ,The University Of Rochester,"Nicholas George, Wanli Chi",2001-12-18,2002-12-18,2005-08-09,2005-08-09,https://patents.google.com/patent/US6927922B2/en
US6936233B2,Method for purification of as-produced single-wall carbon nanotubes ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Hongjie Dai, Jie Liu, Andrew G. Rinzler, Jason H. Hafner, Kenneth A. Smith, Ting Guo, Pavel Nikolaev, Andreas Thess",1997-03-07,2001-12-28,2005-08-30,2005-08-30,https://patents.google.com/patent/US6936233B2/en
US6917688B2,Adaptive noise cancelling microphone system ,Nanyang Technological University,"Zhuliang Yu, Wee Ser",2002-09-11,2002-09-11,2005-07-12,2005-07-12,https://patents.google.com/patent/US6917688B2/en
US6939624B2,Organometallic compounds and emission-shifting organic electrophosphorescence ,"Universal Display Corporation, The University Of Southern California, The Trustees Of Princeton University","Sergey Lamansky, Mark E. Thompson, Vadim Adamovich, Peter I. Djurovich, Chihaya Adachi, Marc A. Baldo, Stephen R. Forrest, Raymond Kwong",2000-08-11,2001-10-16,2005-09-06,2005-09-06,https://patents.google.com/patent/US6939624B2/en
US6930193B2,"Isoreticular metal-organic frameworks, process for forming the same, and systematic design of pore size and functionality therein, with application for gas storage ",The Regents Of The University Of Michigan,"Omar M. Yaghi, Mohamed Eddaoudi, Hailian Li, Jaheon Kim, Nathaniel Rosi",2001-04-30,2002-04-30,2005-08-16,2005-08-16,https://patents.google.com/patent/US6930193B2/en
US6913827B2,Nanocoated primary particles and method for their manufacture ,The Regents Of The University Of Colorado,"Steven M. George, John D. Ferguson, Alan W. Weimer, Jeffrey R. Wank",2000-06-21,2003-12-09,2005-07-05,2005-07-05,https://patents.google.com/patent/US6913827B2/en
