search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20120201&after=publication:20120101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8103611B2,"Architectures, systems, apparatus, methods, and computer-readable medium for providing recommendations to users and applications using multidimensional data ",New York University,"Alexander Tuzhilin, Gediminas Adomavicius",1997-11-14,2009-09-03,2012-01-24,2012-01-24,https://patents.google.com/patent/US8103611B2/en
US8098201B2,Radio frequency identification tag and radio frequency identification tag antenna ,"Electronics & Telecommunications Research Institute, Industrial Cooperation Foundation Of Chonbuk National University","Won Kyu CHOI, Jeong Seok Kim, Gil Young CHOI, Hae Won SON, Cheol Sig Pyo, Jong-Suk Chae",2007-11-29,2008-06-09,2012-01-17,2012-01-17,https://patents.google.com/patent/US8098201B2/en
US8096654B2,Active contact lens ,University Of Washington Through Its Center For Commercialization,"Babak Amirparviz, Harvey Ho, Ehsan Saeedi",2007-03-07,2009-09-04,2012-01-17,2012-01-17,https://patents.google.com/patent/US8096654B2/en
US8093064B2,Method for using magnetic particles in droplet microfluidics ,The Regents Of The University Of California,"Gaurav Jitendra Shah, Chang-Jin Kim",2008-05-15,2009-05-14,2012-01-10,2012-01-10,https://patents.google.com/patent/US8093064B2/en
US8102406B2,Method and system for producing a video synopsis ,Yissum Research Development Company Of The Hebrew University Of Jerusalem,"Shmuel Peleg, Alexander Rav-Acha",2005-11-15,2006-11-15,2012-01-24,2012-01-24,https://patents.google.com/patent/US8102406B2/en
US8095508B2,Intelligent data storage and processing using FPGA devices ,Washington University,"Roger D. Chamberlain, Mark Allen Franklin, Ronald S. Indeck, Ron K. Cytron, Sharath R. Cholleti",2000-04-07,2004-05-21,2012-01-10,2012-01-10,https://patents.google.com/patent/US8095508B2/en
US8106375B2,Resistance-switching memory based on semiconductor composition of perovskite conductor doped perovskite insulator ,The Trustees Of The University Of Pennsylvania,"I-Wei Chen, Yudi Wang, Soo Gil Kim",2005-11-30,2005-11-30,2012-01-31,2012-01-31,https://patents.google.com/patent/US8106375B2/en
US8090164B2,"Systems, methods, and computer program products for analysis of vessel attributes for diagnosis, disease staging, and surgical planning ",The University Of North Carolina At Chapel Hill,"Elizabeth Bullitt, Stephen Aylward",2003-08-25,2004-07-16,2012-01-03,2012-01-03,https://patents.google.com/patent/US8090164B2/en
US8090160B2,Automated method for human face modeling and relighting with application to face recognition ,The University Of Houston System,"Ioannis A. Kakadiaris, George Toderici, Theoharis Theoharis, Georgios Passalis",2007-10-12,2008-10-13,2012-01-03,2012-01-03,https://patents.google.com/patent/US8090160B2/en
US8096660B2,Method and apparatus for communication between humans and devices ,Queen's University At Kingston,"Roel Vertegaal, Jeffrey S. Shell",2003-03-21,2010-07-26,2012-01-17,2012-01-17,https://patents.google.com/patent/US8096660B2/en
US8095175B2,WLAN-to-WWAN handover methods and apparatus using a WLAN support node having a WWAN interface ,Mcmaster University,"Terence D. Todd, Seyed Vahid Azhari",2006-10-26,2006-10-26,2012-01-10,2012-01-10,https://patents.google.com/patent/US8095175B2/en
US8105849B2,Integration of fluids and reagents into self-contained cartridges containing sensor elements ,"Board Of Regents, The University Of Texas System","John T. McDevitt, Karri L. Ballard, Pierre N. Floriano, Nick J. Christodoulides, Dean Neikirk, Eric Anslyn, Jason Shear",2004-02-27,2004-12-22,2012-01-31,2012-01-31,https://patents.google.com/patent/US8105849B2/en
