search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20040701&after=publication:20040401&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6716184B2,Ultrasound therapy head configured to couple to an ultrasound imaging probe to facilitate contemporaneous imaging using low intensity ultrasound and treatment using high intensity focused ultrasound ,University Of Washington,"Shahram Vaezy, Roy W. Martin, Stephen J. Carter, George W. Keilman, Victor Y. Fujimoto, Lawrence A. Crum",1998-09-18,2002-06-07,2004-04-06,2004-04-06,https://patents.google.com/patent/US6716184B2/en
US6719750B2,Devices for intraocular drug delivery ,The Johns Hopkins University,"Signe Erickson Varner, Eugene deJuan, Jr., Terry Shelley, Aaron Christopher Barnes, Mark Humayun",2000-08-30,2001-06-22,2004-04-13,2004-04-13,https://patents.google.com/patent/US6719750B2/en
US6721587B2,Membrane and electrode structure for implantable sensor ,Regents Of The University Of California,David A. Gough,2001-02-15,2002-02-15,2004-04-13,2004-04-13,https://patents.google.com/patent/US6721587B2/en
US6731799B1,Object segmentation with background extraction and moving boundary techniques ,University Of Washington,"Shijun Sun, Yongmin Kim",2000-06-01,2000-06-01,2004-05-04,2004-05-04,https://patents.google.com/patent/US6731799B1/en
US6719915B2,Step and flash imprint lithography ,"Board Of Regents, The University Of Texas System","Carlton Grant Willson, Matthew Earl Colburn",1999-03-11,2001-07-19,2004-04-13,2004-04-13,https://patents.google.com/patent/US6719915B2/en
US6753454B1,Electrospun fibers and an apparatus therefor ,The University Of Akron,"Daniel J. Smith, Darrell H. Reneker, Albert T. McManus, Heidi L. Schreuder-Gibson, Charlene Mello, Michael S. Sennett",1999-10-08,2000-05-16,2004-06-22,2004-06-22,https://patents.google.com/patent/US6753454B1/en
US6737522B2,Chicken interleukin-15 and uses thereof ,Wayne State University,"Roy S. Sundick, Lily A. Jones, David I. Smith",1995-10-17,2001-07-17,2004-05-18,2004-05-18,https://patents.google.com/patent/US6737522B2/en
US6735253B1,Methods and architecture for indexing and editing compressed video over the world wide web ,The Trustees Of Columbia University In The City Of New York,"Shih-Fu Chang, Horace J. Meng",1997-05-16,1997-05-16,2004-05-11,2004-05-11,https://patents.google.com/patent/US6735253B1/en
US6725073B1,Methods for noninvasive analyte sensing ,"Board Of Regents, The University Of Texas System","Massoud Motamedi, Rinat O. Esenaliev",1999-08-17,2002-07-17,2004-04-20,2004-04-20,https://patents.google.com/patent/US6725073B1/en
US6749827B2,Method for growing continuous fiber ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Hongjie Dai, Jie Liu, Andrew G. Rinzler, Jason H. Hafner, Kenneth A. Smith, Ting Guo, Pavel Nikolaev, Andreas Thess",1997-03-07,2001-12-28,2004-06-15,2004-06-15,https://patents.google.com/patent/US6749827B2/en
US6754370B1,Real-time structured light range scanning of moving scenes ,The Board Of Trustees Of The Leland Stanford Junior University,"Olaf A. Hall-Holt, Szymon M. Rusinkiewicz",2000-08-14,2000-08-14,2004-06-22,2004-06-22,https://patents.google.com/patent/US6754370B1/en
