search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20060401&after=publication:20060101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7018401B1,Woven intravascular devices and methods for making the same and apparatus for delivery of the same ,"Board Of Regents, The University Of Texas System","Hideki Hyodoh, Andras Konya, Kenneth C. Wright",1999-02-01,2000-02-01,2006-03-28,2006-03-28,https://patents.google.com/patent/US7018401B1/en
US6996147B2,Methods of fabricating nanostructures and nanowires and devices fabricated therefrom ,The Regents Of The University Of California,"Arun Majumdar, Ali Shakouri, Timothy D. Sands, Peidong Yang, Samuel S. Mao, Richard E. Russo, Henning Feick, Eicke R. Weber, Hannes Kind, Michael Huang, Haoquan Yan, Yiying Wu, Rong Fan",2001-03-30,2002-03-29,2006-02-07,2006-02-07,https://patents.google.com/patent/US6996147B2/en
US6985763B2,Method for measuring venous oxygen saturation ,Tufts University,"David Boas, Maria Angela Franceschini, Sergio Fantini",2001-01-19,2001-11-30,2006-01-10,2006-01-10,https://patents.google.com/patent/US6985763B2/en
US6985953B1,System and apparatus for storage and transfer of secure data on web ,George Mason University,"Ravi Sandhu, Joon S. Park",1998-11-30,1999-11-30,2006-01-10,2006-01-10,https://patents.google.com/patent/US6985953B1/en
US7010751B2,"Methods for the electronic annotation, retrieval, and use of electronic images ","University Of Maryland, College Park",Ben A. Shneiderman,2000-02-18,2001-10-15,2006-03-07,2006-03-07,https://patents.google.com/patent/US7010751B2/en
US6984208B2,"Method and apparatus for sensing body gesture, posture and movement ",The Hong Kong Polytechnic University,Yongping Zheng,2002-08-01,2002-08-01,2006-01-10,2006-01-10,https://patents.google.com/patent/US6984208B2/en
US6989234B2,Method and apparatus for non-contact electrostatic actuation of droplets ,Duke University,"Pramod Kolar, Richard B. Fair",2002-09-24,2002-09-24,2006-01-24,2006-01-24,https://patents.google.com/patent/US6989234B2/en
US7008424B2,Percutaneous vertebral fusion system ,University Of Southern California,George P. Teitelbaum,2000-06-23,2003-10-17,2006-03-07,2006-03-07,https://patents.google.com/patent/US7008424B2/en
US7015037B1,Multiponent adult stem cells and methods for isolation ,"Regents Of The University Of Minnesota, Mcl/Llc","Leo T. Furcht, Catherine M. Verfaillie, Morayma Reyes",1999-08-05,2002-08-21,2006-03-21,2006-03-21,https://patents.google.com/patent/US7015037B1/en
US7019838B2,System and method for low coherence broadband quadrature interferometry ,Duke University,"Joseph A. Izatt, Michael Choma, Changhuei Yang",2003-05-30,2004-05-28,2006-03-28,2006-03-28,https://patents.google.com/patent/US7019838B2/en
US7008563B2,Polymer-wrapped single wall carbon nanotubes ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Ken A. Smith, Michael O'Connell",2000-08-24,2001-08-23,2006-03-07,2006-03-07,https://patents.google.com/patent/US7008563B2/en
US6984404B1,Methods for preparing coated drug particles and pharmaceutical formulations thereof ,"University Of Florida Research Foundation, Inc.","James D. Talton, Guenther Hochhaus, Rajiv K. Singh, James M. Fitz-Gerald",1998-11-18,1999-11-18,2006-01-10,2006-01-10,https://patents.google.com/patent/US6984404B1/en
US7010183B2,Surface plasmon devices ,The Regents Of The University Of Colorado,"Michael J. Estes, Garrett Moddel",2002-03-20,2002-03-20,2006-03-07,2006-03-07,https://patents.google.com/patent/US7010183B2/en
US7010494B2,Performing predictive pricing based on historical data ,University Of Washington,"Oren Etzioni, Alexander Yates, Craig A. Knoblock, Rattapoom Tuchinda",2003-03-27,2004-03-26,2006-03-07,2006-03-07,https://patents.google.com/patent/US7010494B2/en
US6986876B2,Method for forming composites of sub-arrays of single-wall carbon nanotubes ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Hongjie Dai, Jie Liu, Andrew G. Rinzler, Jason H. Hafner, Kenneth A. Smith, Ting Guo, Pavel Nikolaev, Andreas Thess",1997-03-07,2001-12-28,2006-01-17,2006-01-17,https://patents.google.com/patent/US6986876B2/en
US7016719B2,System and methods for noninvasive electrocardiographic imaging (ECGI) using generalized minimum residual (GMRes) ,Case Western Reserve University,"Yoram Rudy, Charulatha Ramanathan, Raja Ghanem, Ping Jia",1997-07-31,2002-10-04,2006-03-21,2006-03-21,https://patents.google.com/patent/US7016719B2/en
US7006232B2,Phase-referenced doppler optical coherence tomography ,"Case Western Reserve University, University Of Hospitals Of Cleveland","Andrew M. Rollins, Joseph A. Izatt, Volker Westphal, Cameron J. Pedersen, Siavash Yazdanfar",2002-04-05,2003-04-07,2006-02-28,2006-02-28,https://patents.google.com/patent/US7006232B2/en
US7001536B2,Organometallic complexes as phosphorescent emitters in organic LEDs ,"The Trustees Of Princeton University, The University Of Southern California","Mark E. Thompson, Peter Djurovic, Sergey Lamansky, Drew Murphy, Raymond Kwong, Feras Abdel-Razzaq, Stephen R. Forrest, Marc A. Baldo, Paul E. Burrows",1999-03-23,2004-06-16,2006-02-21,2006-02-21,https://patents.google.com/patent/US7001536B2/en
US7010340B2,"Methods, systems, and associated implantable devices for dynamic monitoring of physiological and biological properties of tumors ","North Carolina State University, Sicel Technologies, Inc","Charles W. Scarantino, H. Troy Nagle, Lester C. Hall, Jeffrey Mueller, Bahram Ghaffarzadeh Kermani",1998-09-30,2002-02-15,2006-03-07,2006-03-07,https://patents.google.com/patent/US7010340B2/en
US7005292B2,Device and method for the detection of an analyte utilizing mesoscale flow systems ,The Trustees Of The University Of Pennsylvania,"Peter Wilding, Larry J. Kricka, Jay N. Zemel",1992-05-01,2003-08-22,2006-02-28,2006-02-28,https://patents.google.com/patent/US7005292B2/en
US6990376B2,Methods and systems for selective control of bladder function ,The Regents Of The University Of California,"Emil A. Tanagho, Curtis A. Gleason",2002-12-06,2002-12-06,2006-01-24,2006-01-24,https://patents.google.com/patent/US6990376B2/en
US6985051B2,Micromechanical resonator device and method of making a micromechanical device ,The Regents Of The University Of Michigan,"Clark T.-C. Nguyen, Mohamed A. Abdelmoneum",2002-12-17,2003-12-16,2006-01-10,2006-01-10,https://patents.google.com/patent/US6985051B2/en
US6992994B2,Methods and systems for a generalized mobility solution using a dynamic tunneling agent ,"Telcordia Technologies, Inc., University Of Texas","Subir Das, Archan Misra, Anthony McAuley, Ashutosh Dutta, Prathima Agrawal, Sajal Das",2000-04-17,2001-04-12,2006-01-31,2006-01-31,https://patents.google.com/patent/US6992994B2/en
US7011723B2,Adhesive microstructure and method of forming same ,"The Regents Of The University Of California, The Board Of Trustees Of The Leland Stanford Junior University","Robert J. Full, Ronald S. Fearing, Thomas W. Kenny, Kellar Autumn",1999-12-20,2003-01-06,2006-03-14,2006-03-14,https://patents.google.com/patent/US7011723B2/en
US6984522B2,Isolation and use of solid tumor stem cells ,Regents Of The University Of Michigan,"Michael F. Clarke, Sean J. Morrison, Max S. Wicha, Muhammad Al-Hajj",2000-08-03,2001-08-01,2006-01-10,2006-01-10,https://patents.google.com/patent/US6984522B2/en
US7017043B1,Methods and systems for the identification of circuits and circuit designs ,The Regents Of The University Of California,Miodrag Potkonjak,1999-03-19,2000-03-20,2006-03-21,2006-03-21,https://patents.google.com/patent/US7017043B1/en
US6981942B2,Temporary blood circulation assist device ,University Of Medicine And Dentristy Of New Jersey,"Kenneth Khaw, John K-J Li",2001-11-19,2002-11-19,2006-01-03,2006-01-03,https://patents.google.com/patent/US6981942B2/en
US6994907B2,Carbon nanotube product comprising single-walled carbon nanotubes ,The Board Of Regents Of The University Of Oklahoma,"Daniel E. Resasco, Boonyarach Kitiyanan, Jeffrey H. Harwell, Walter Alvarez",1999-06-02,2003-04-25,2006-02-07,2006-02-07,https://patents.google.com/patent/US6994907B2/en
US6994693B2,Tunneler-needle combination for tunneled catheter placement ,Yale University,Michael Tal,2001-07-17,2002-07-17,2006-02-07,2006-02-07,https://patents.google.com/patent/US6994693B2/en
US6987831B2,Apparatus and method for cone beam volume computed tomography breast imaging ,University Of Rochester,Ruola Ning,1999-11-18,2003-03-28,2006-01-17,2006-01-17,https://patents.google.com/patent/US6987831B2/en
US7008540B1,Ultrasonically cleaned membrane filtration system ,The Ohio State University,"Linda Kay Weavers, Harold W. Walker, Mikko O. Lamminen, Dong Chen",2003-04-07,2003-05-08,2006-03-07,2006-03-07,https://patents.google.com/patent/US7008540B1/en
US6994717B2,Occlusion method and apparatus ,"Board Of Regents, The University Of Texas Systems","András Kónya, Sidney Wallace, Kenneth C. Wright",1999-03-05,2002-04-09,2006-02-07,2006-02-07,https://patents.google.com/patent/US6994717B2/en
US6992063B2,Compositions and method for regulating apoptosis ,The Trustees Of Princeton University,Yigong Shi,2000-09-29,2001-09-28,2006-01-31,2006-01-31,https://patents.google.com/patent/US6992063B2/en
US7013223B1,Method and apparatus for analyzing performance of a hydraulic pump ,The Board Of Trustees Of The University Of Illinois,"Qin Zhang, Yingjie Gao, Xiangdong Kong",2002-09-25,2003-09-24,2006-03-14,2006-03-14,https://patents.google.com/patent/US7013223B1/en
US6991791B2,Anti-TNF antibodies and peptides of human tumor necrosis factor ,"New York University School Of Medicine, Centocor, Inc.","Junming Le, Jan Vilcek, Peter Daddona, John Ghrayeb, David Knight, Scott Siegel",1991-03-18,2001-01-18,2006-01-31,2006-01-31,https://patents.google.com/patent/US6991791B2/en
US6984934B2,Micro-lens arrays for display intensity enhancement ,The Trustees Of Princeton University,"Sven Möller, Stephen R. Forrest",2001-07-10,2002-07-09,2006-01-10,2006-01-10,https://patents.google.com/patent/US6984934B2/en
US7004184B2,Compositions and methods for liquid metering in microchannels ,The Reagents Of The University Of Michigan,"Kalyan Handique, Mark A. Burns",2000-07-24,2001-07-23,2006-02-28,2006-02-28,https://patents.google.com/patent/US7004184B2/en
US6995284B2,Synthesis of selective androgen receptor modulators ,The University Of Tennessee Research Foundation,"James T. Dalton, Duane D. Miller, Yali He, Donghua Yin",2000-08-24,2002-10-22,2006-02-07,2006-02-07,https://patents.google.com/patent/US6995284B2/en
US7005454B2,Polymeric drug formulations ,"Rutgers, The State University","Stephen Brocchini, Stephen R. Hanson, Joachim B. Kohn",1995-07-28,1999-02-24,2006-02-28,2006-02-28,https://patents.google.com/patent/US7005454B2/en
US7015497B1,Self-aligned and self-limited quantum dot nanoswitches and methods for making same ,The Ohio State University,Paul R. Berger,2002-08-27,2003-08-27,2006-03-21,2006-03-21,https://patents.google.com/patent/US7015497B1/en
US7009338B2,High efficiency multi-color electro-phosphorescent OLEDs ,"The University Of Southern California, The Trustees Of Princeton University","Brian D'Andrade, Mark E. Thompson, Stephen R. Forrest",2001-05-16,2002-05-13,2006-03-07,2006-03-07,https://patents.google.com/patent/US7009338B2/en
US7003177B1,Method and system for super resolution ,Ramot At Tel-Aviv University Ltd.,"David Mendlovic, Zeev Zalevsky",1999-03-30,2000-03-30,2006-02-21,2006-02-21,https://patents.google.com/patent/US7003177B1/en
US7010052B2,Apparatus and method of CTCM encoding and decoding for a digital communication system ,The Ohio University,"Jeffrey C. Dill, Sergio R. Lopez-Permouth, Alan Ray Lindsey, Yung-Cheng Lo, Frank A. Alder, Xiangyu Song",2001-04-16,2001-04-16,2006-03-07,2006-03-07,https://patents.google.com/patent/US7010052B2/en
US7008535B1,Apparatus for oxygenating wastewater ,"Wayne State University, Therox, Inc., Dynamox, Inc.","J. Richard Spears, Richard Crilly, Ray Rydman, James Gessert, Steve Myrick",2000-08-04,2000-08-04,2006-03-07,2006-03-07,https://patents.google.com/patent/US7008535B1/en
US7020539B1,System and method for fabricating or repairing a part ,Southern Methodist University,"Radovan Kovacevic, Michael E. Valant",2002-10-01,2003-08-25,2006-03-28,2006-03-28,https://patents.google.com/patent/US7020539B1/en
US7016717B2,Near-infrared spectroscopic tissue imaging for medical applications ,The Regents Of The University Of California,"Stavros Demos, Michael C. Staggs",2002-07-05,2002-07-05,2006-03-21,2006-03-21,https://patents.google.com/patent/US7016717B2/en
US6998500B2,Selective androgen receptor modulators and methods of use thereof ,University Of Tennessee Research Foundation,"James T. Dalton, Duane D. Miller, Yali He, Donghua Yin",2000-08-24,2002-10-16,2006-02-14,2006-02-14,https://patents.google.com/patent/US6998500B2/en
US6992995B2,Telecommunication enhanced mobile IP architecture for intra-domain mobility ,"Telcordia Technologies, Inc., University Of Texas","Prathima Agrawal, Subir Das, Sajal Das, Archan Misra",2000-04-17,2001-04-12,2006-01-31,2006-01-31,https://patents.google.com/patent/US6992995B2/en
US6986975B2,Method of aligning a template with a substrate employing moire patterns ,"Board Of Regents, The University Of Texas System","Sidlgata V. Sreenivasan, Byung J. Choi, Matthew Colburn, Todd Bailey",2000-07-16,2004-04-05,2006-01-17,2006-01-17,https://patents.google.com/patent/US6986975B2/en
US7018985B1,Composition and method for inhibiting platelet aggregation ,"Inspire Pharmaceuticals, Inc., University Of North Carolina At Chapel Hill","José L. Boyer, Gillian M. Olins, Benjamin R. Yerxa, James G. Douglass, III",2000-08-21,2000-08-21,2006-03-28,2006-03-28,https://patents.google.com/patent/US7018985B1/en
US7018989B2,Chemical compounds ,"University College Cardiff Consultants, Ltd","Christopher McGuigan, Jan Balzarini",1995-03-13,2002-08-12,2006-03-28,2006-03-28,https://patents.google.com/patent/US7018989B2/en
US7008395B1,Multi-lumen catheter system used in a blood treatment process ,Wake Forset University Health Sciences,Brian W. Loggie,1994-04-04,2000-09-29,2006-03-07,2006-03-07,https://patents.google.com/patent/US7008395B1/en
US7011647B2,Introducer sheath ,"Scimed Life Systems, Inc., Board Of Regents, The University Of Texas System","Phillip D. Purdy, Ajit Nair, Pete Phong Pham, Kamal Ramzipoor, Mehran Bashiri, Joseph C. Eder",2001-07-13,2002-12-23,2006-03-14,2006-03-14,https://patents.google.com/patent/US7011647B2/en
US6999876B2,Modular architecture for rapid deployment and coordination of emergency event field surveillance ,University Of North Florida,"J. David Lambert, John Franklin Alexander, Gerald Merckel",2001-03-30,2003-08-29,2006-02-14,2006-02-14,https://patents.google.com/patent/US6999876B2/en
