search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20100801&after=publication:20100601&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7747305B2,Computer-aided-design of skeletal implants ,Case Western Reserve University,"David Dean, Kyoung-June Min, Robert A. Ratcheson",2003-06-11,2005-12-09,2010-06-29,2010-06-29,https://patents.google.com/patent/US7747305B2/en
US7727723B2,Droplet-based pyrosequencing ,"Advanced Liquid Logic, Inc., Duke University, The Board Of Trustees Of The Leland Stanford Junior University","Michael G. Pollack, Vamsee K. Pamula, Dwayne J. Allen, Richard B. Fair, Peter Griffin",2006-04-18,2006-12-15,2010-06-01,2010-06-01,https://patents.google.com/patent/US7727723B2/en
US7747055B1,Virtual endoscopy with improved image segmentation and lesion detection ,Wake Forest University Health Sciences,"David J. Vining, Gordon W. Hunt, David K. Ahn, David R. Stelts, Yaorong Ge, Paul F. Hemler, Tiffany W. Salido",1998-11-25,1999-11-24,2010-06-29,2010-06-29,https://patents.google.com/patent/US7747055B1/en
US7763471B2,Method of electrowetting droplet operations for protein crystallization ,"Advanced Liquid Logic, Inc., Duke University","Vamsee K. Pamula, Vijay Srinivasan, Michael G. Pollack",2006-04-18,2007-08-16,2010-07-27,2010-07-27,https://patents.google.com/patent/US7763471B2/en
US7762665B2,Method and apparatus for communication between humans and devices ,Queen's University At Kingston,"Roel Vertegaal, Jeffrey S. Shell",2003-03-21,2003-03-21,2010-07-27,2010-07-27,https://patents.google.com/patent/US7762665B2/en
US7732422B2,TRPM-2 antisense therapy ,The University Of British Columbia,"Martin Gleave, Paul S. Rennie, Hideaki Miyake, Colleen Nelson",1999-02-26,2007-10-19,2010-06-08,2010-06-08,https://patents.google.com/patent/US7732422B2/en
US7759132B2,Methods for performing microfluidic sampling ,Duke University,"Michael G. Pollack, Vamsee K. Pamula, Richard B. Fair",2002-09-24,2006-10-23,2010-07-20,2010-07-20,https://patents.google.com/patent/US7759132B2/en
US7745528B2,Functional graphene-rubber nanocomposites ,The Trustees Of Princeton University,"Robert Prud'Homme, Bulent Ozbas, Ilhan Aksay, Richard Register, Douglas Adamson",2006-10-06,2006-10-06,2010-06-29,2010-06-29,https://patents.google.com/patent/US7745528B2/en
US7737108B1,Enhanced transport using membrane disruptive agents ,University Of Washington,"Allan S. Hoffman, Patrick S. Stayton, Niren Murthy",2000-01-07,2001-01-05,2010-06-15,2010-06-15,https://patents.google.com/patent/US7737108B1/en
US7739090B2,Method and system for 3D blood vessel localization ,"University Of Illinois, Board Of Trustees","Fady T. Charbel, Marlyn E. Clark, Meide Zhao",1998-02-03,2005-12-30,2010-06-15,2010-06-15,https://patents.google.com/patent/US7739090B2/en
