search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20050401&after=publication:20050101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6852487B1,Detection of nucleic acid sequence differences using the ligase detection reaction with addressable arrays ,"Cornell Research Foundation, Inc., Board Of Supervisors Of Louisiana State University And Agricultural And Mechanical College, Regents Of The University Of Minnesota","Francis Barany, George Barany, Robert P. Hammer, Maria Kempe, Herman Blok, Monib Zirvi",1996-02-09,1997-02-04,2005-02-08,2005-02-08,https://patents.google.com/patent/US6852487B1/en
US6863942B2,Free-standing and aligned carbon nanotubes and synthesis thereof ,The Research Foundation Of State University Of New York,"Zhifeng Ren, Zhongping Huang, Jui H. Wang, Dezhi Wang",1998-06-19,1999-06-18,2005-03-08,2005-03-08,https://patents.google.com/patent/US6863942B2/en
US6849558B2,Replication and transfer of microstructures and nanostructures ,The Board Of Trustees Of The Leland Stanford Junior University,Charles Daniel Schaper,2002-05-22,2002-09-17,2005-02-01,2005-02-01,https://patents.google.com/patent/US6849558B2/en
US6870657B1,Electrochromic device ,University College Dublin,"Donald Fitzmaurice, David Cummins, David Corr, S. Nagaraja Rao, Gerrit Boschloo",1999-10-11,2000-10-11,2005-03-22,2005-03-22,https://patents.google.com/patent/US6870657B1/en
US6859570B2,Target analyte sensors utilizing microspheres ,"Trustees Of Tufts College, Tufts University","David R. Walt, Karri L. Michael",1997-03-14,2001-08-08,2005-02-22,2005-02-22,https://patents.google.com/patent/US6859570B2/en
US6856291B2,Energy harvesting circuits and associated methods ,University Of Pittsburgh- Of The Commonwealth System Of Higher Education,"Marlin H. Mickle, Christopher C. Capelli, Harold Swift",2002-08-15,2003-07-21,2005-02-15,2005-02-15,https://patents.google.com/patent/US6856291B2/en
US6846565B2,Light-emitting nanoparticles and method of making same ,"Board Of Regents, The University Of Texas System","Brian A. Korgel, Keith P. Johnston",2001-07-02,2002-03-28,2005-01-25,2005-01-25,https://patents.google.com/patent/US6846565B2/en
US6845190B1,Control of an optical fiber scanner ,University Of Washington,"Quinn Y. J. Smithwick, Eric J. Seibel, Mark Fauver",2000-11-27,2002-11-26,2005-01-18,2005-01-18,https://patents.google.com/patent/US6845190B1/en
US6860880B2,Electrothermal instrument for sealing and joining or cutting tissue ,The Trustees Of Columbia University In The City Of New York,"Michael R. Treat, Fred H. Co, George D. Hermann, Thomas A. Howell, Theodore R. Kucklick, Michelle Y. Monfort, Kenneth H. Mollenauer",1997-03-05,2002-11-12,2005-03-01,2005-03-01,https://patents.google.com/patent/US6860880B2/en
US6839496B1,Optical fibre probe for photoacoustic material analysis ,University College Of London,"Timothy Noel Mills, Paul Beard, David Delpy",1999-06-28,2000-06-23,2005-01-04,2005-01-04,https://patents.google.com/patent/US6839496B1/en
US6840246B2,Apparatuses and methods for performing minimally invasive diagnostic and surgical procedures inside of a beating heart ,"University Of Maryland, Baltimore",Stephen W. Downing,2000-06-20,2001-06-15,2005-01-11,2005-01-11,https://patents.google.com/patent/US6840246B2/en
US6873087B1,High precision orientation alignment and gap control stages for imprint lithography processes ,"Board Of Regents, The University Of Texas System","Byung Jin Choi, Sidlgata V. Sreenivasan, Stephen C. Johnson",1999-10-29,2000-10-27,2005-03-29,2005-03-29,https://patents.google.com/patent/US6873087B1/en
US6843902B1,Methods for fabricating metal nanowires ,The Regents Of The University Of California,"Reginald Mark Penner, Michael Paul Zach, Fred Favier",2001-07-20,2001-10-12,2005-01-18,2005-01-18,https://patents.google.com/patent/US6843902B1/en
US6855202B2,Shaped nanocrystal particles and methods for making the same ,The Regents Of The University Of California,"A. Paul Alivisatos, Erik C. Scher, Liberato Manna",2001-11-30,2002-11-20,2005-02-15,2005-02-15,https://patents.google.com/patent/US6855202B2/en
US6856712B2,Micro-fabricated optical waveguide for use in scanning fiber displays and scanned fiber image acquisition ,University Of Washington,"Mark E. Fauver, Eric J. Seibel, Chris M. Brown, Per G. Reinhall, Quinn Y. J. Smithwick",2000-11-27,2001-11-26,2005-02-15,2005-02-15,https://patents.google.com/patent/US6856712B2/en
US6872439B2,Adhesive microstructure and method of forming same ,The Regents Of The University Of California,"Ronald S. Fearing, Metin Sitti",2002-05-13,2002-07-17,2005-03-29,2005-03-29,https://patents.google.com/patent/US6872439B2/en
US6871186B1,System and method for dynamic profiling of users in one-to-one applications and for validating user rules ,New York University,"Alexander S. Tuzhilin, Gediminas Adomavicius",1997-11-14,1998-11-13,2005-03-22,2005-03-22,https://patents.google.com/patent/US6871186B1/en
US6858412B2,Direct multiplex characterization of genomic DNA ,The Board Of Trustees Of The Leland Stanford Junior University,"Thomas D. Willis, Paul Hardenbol, Maneesh Jain, Viktor Stolc, Mostafa Ronaghi, Ronald W. Davis",2000-10-24,2001-10-24,2005-02-22,2005-02-22,https://patents.google.com/patent/US6858412B2/en
US6864570B2,Method and apparatus for fabricating self-assembling microstructures ,The Regents Of The University Of California,John Stephen Smith,1993-12-17,2001-06-08,2005-03-08,2005-03-08,https://patents.google.com/patent/US6864570B2/en
US6864626B1,Electronic displays using optically pumped luminescent semiconductor nanocrystals ,The Regents Of The University Of California,"Shimon Weiss, Michael C. Schlamp, A. Paul Alivisatos",1998-06-03,1999-06-02,2005-03-08,2005-03-08,https://patents.google.com/patent/US6864626B1/en
US6847737B1,Methods for performing DAF data filtering and padding ,"University Of Houston System, Iowa State University Research Foundation, Inc.","Donald J. Kouri, David K. Hoffman, Ioannis Kakadiaris, Zhuoer Shi, DeSheng Zhang, Gemunu H. Gunaratne, Haixiang Wang, G. W. Wei, Zheng Bao",1998-03-13,1999-03-12,2005-01-25,2005-01-25,https://patents.google.com/patent/US6847737B1/en
US6854929B2,Isolation of soil with a low temperature barrier prior to conductive thermal treatment of the soil ,"Board Of Regents, The University Of Texas System","Harold J. Vinegar, George L. Stegemeier",2001-10-24,2002-10-24,2005-02-15,2005-02-15,https://patents.google.com/patent/US6854929B2/en
US6852284B1,Liquid analysis cartridge ,University Of Washington,"Mark R. Holl, Floyd Edwards, Robert J. Morff, Gerald L. Klein",1998-05-18,2000-10-13,2005-02-08,2005-02-08,https://patents.google.com/patent/US6852284B1/en
US6872249B2,Synthesis of colloidal nanocrystals ,The Board Of Trustees Of The University Of Arkansas,"Xiaogang Peng, Zuoyan Peng, Lianhua Qu",2000-10-04,2001-10-04,2005-03-29,2005-03-29,https://patents.google.com/patent/US6872249B2/en
US6846846B2,Gentle-acting skin disinfectants ,The Trustees Of Columbia University In The City Of New York,"Shanta Modak, Trupti A. Gaonkar, Lester Sampath",2001-10-23,2001-10-23,2005-01-25,2005-01-25,https://patents.google.com/patent/US6846846B2/en
US6842483B1,"Device, method and digital video encoder for block-matching motion estimation ",The Hong Kong University Of Science And Technology,"Oscar Chi-Lim Au, Ming Lei Liou, Alexandros Tourapis, Guobin Shen",2000-09-11,2000-09-11,2005-01-11,2005-01-11,https://patents.google.com/patent/US6842483B1/en
US6839588B1,Electrophysiological cardiac mapping system based on a non-contact non-expandable miniature multi-electrode catheter and method therefor ,Case Western Reserve University,Yoram Rudy,1997-07-31,1998-07-29,2005-01-04,2005-01-04,https://patents.google.com/patent/US6839588B1/en
