search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20100101&after=publication:20091001&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7620202B2,Target orientation estimation using depth sensing ,"Honda Motor Co., Ltd., The Ohio State University Research Foundation","Kikuo Fujimura, Youding Zhu",2003-06-12,2004-06-14,2009-11-17,2009-11-17,https://patents.google.com/patent/US7620202B2/en
US7622367B1,Methods and devices for fabricating and assembling printable semiconductor elements ,The Board Of Trustees Of The University Of Illinois,"Ralph G. Nuzzo, John A. Rogers, Etienne Menard, Keon Jae Lee, Dahl-Young Khang, Yugang Sun, Matthew Meitl, Zhengtao Zhu",2004-06-04,2005-06-02,2009-11-24,2009-11-24,https://patents.google.com/patent/US7622367B1/en
US7603331B2,System and method for dynamic profiling of users in one-to-one applications and for validating user rules ,New York University,"Alexander S. Tuzhilin, Gediminas Adomavicius",1997-11-14,2005-03-07,2009-10-13,2009-10-13,https://patents.google.com/patent/US7603331B2/en
US7639714B2,Apparatus method and medium for detecting payload anomaly using n-gram distribution of normal data ,The Trustees Of Columbia University In The City Of New York,"Salvatore J. Stolfo, Ke Wang",2003-11-12,2004-11-12,2009-12-29,2009-12-29,https://patents.google.com/patent/US7639714B2/en
US7635386B1,Methods and devices for performing cardiac valve repair ,"University Of Maryland, Baltimore",James S. Gammie,2006-03-07,2007-03-07,2009-12-22,2009-12-22,https://patents.google.com/patent/US7635386B1/en
US7616412B2,Perpendicular spin-torque-driven magnetic oscillator ,Carnegie Melon University,"Xiaochun Zhu, Jian-Gang Zhu",2006-07-21,2006-07-21,2009-11-10,2009-11-10,https://patents.google.com/patent/US7616412B2/en
US7603166B2,Method and apparatus for detection of vulnerable atherosclerotic plaque ,Board Of Regents University Of Texas System,"S. Ward Casscells, III, James T. Willerson, Morteza Naghavi, Bujin Guo",1996-09-20,2003-08-12,2009-10-13,2009-10-13,https://patents.google.com/patent/US7603166B2/en
US7598949B2,Multi-touch sensing light emitting diode display and method for using the same ,New York University,Jefferson Y. HAN,2004-10-22,2005-10-24,2009-10-06,2009-10-06,https://patents.google.com/patent/US7598949B2/en
US7630040B2,Liquid crystal display and manufacturing method therefor comprising alignment films of oriented carbon nanotubes ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Liang Liu, Kai-Li Jiang, Shou-Shan Fan",2005-10-27,2006-06-21,2009-12-08,2009-12-08,https://patents.google.com/patent/US7630040B2/en
US7625409B2,Ankle prosthesis ,"University Of Iowa Research Foundation, Jonathan T. Deland, Albert H. Burstein","Charles L. Saltzman, Albert H. Burstein, Jonathan T. Deland",2003-10-14,2004-10-14,2009-12-01,2009-12-01,https://patents.google.com/patent/US7625409B2/en
US7628766B1,Lower extremity enhancer ,The Regents Of The University Of California,"Homayoon Kazerooni, Jean-Louis Racine, Andrew Chu, Adam Zoss",2003-10-29,2004-10-29,2009-12-08,2009-12-08,https://patents.google.com/patent/US7628766B1/en
US7608600B2,Modified 2′ and 3′-nucleoside prodrugs for treating Flaviviridae infections ,"Idenix Pharmaceuticals, Inc., University Of Cagliari, Centre National De La Recherche Scientifique, L'Universite Montfellier II","Richard Storer, Gilles Gosselin, Jean-Pierre Sommadossi, Paola LaColla",2002-06-28,2003-06-27,2009-10-27,2009-10-27,https://patents.google.com/patent/US7608600B2/en
US7621948B2,Percutaneous heart valve ,The Trustees Of The University Of Pennsylvania,"Howard C Herrmann, Nilesh Mankame, Suresh G. K. Ananthasuresh",2003-07-21,2004-07-20,2009-11-24,2009-11-24,https://patents.google.com/patent/US7621948B2/en
