search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20100401&after=publication:20100101&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7651845B2,Method and apparatus for glucose control and insulin dosing for diabetics ,The Regents Of The University Of California,"Francis J. Doyle, III, Lois Jovanovic",2004-05-13,2005-05-12,2010-01-26,2010-01-26,https://patents.google.com/patent/US7651845B2/en
US7655860B2,Nano-structured photovoltaic solar cell and related methods ,North Carolina State University,Gregory Parsons,2005-04-01,2006-03-31,2010-02-02,2010-02-02,https://patents.google.com/patent/US7655860B2/en
US7641779B2,Method and apparatus for programmable fluidic processing ,"Board Of Regents, The University Of Texas System","Frederick F. Becker, Peter Gascoyne, Xiaobo Wang, Jody Valentine Vykoukal, Giovanni De Gasperis",1999-02-12,2005-05-23,2010-01-05,2010-01-05,https://patents.google.com/patent/US7641779B2/en
US7650848B2,Surface topographies for non-toxic bioadhesion control ,"University Of Florida Research Foundation, Inc.","Anthony B Brennan, Ronald H. Baney, Michelle L. Carman, Thomas G. Estes, Adam W. Feinberg, Leslie H. Wilson, James F. Schumacher",2004-02-17,2006-12-05,2010-01-26,2010-01-26,https://patents.google.com/patent/US7650848B2/en
US7645576B2,Method for the detection of chromosomal aneuploidies ,The Chinese University Of Hong Kong,"Yuk-Ming Dennis Lo, Rossa Wai Kwun Chiu, Bo Yin Tsui, Chunming Ding, Charles Cantor",2005-03-18,2006-03-17,2010-01-12,2010-01-12,https://patents.google.com/patent/US7645576B2/en
US7680538B2,Method of treating obstructive sleep apnea using electrical nerve stimulation ,Case Western Reserve University,"Dominique M. Durand, Paul Byongsuk Yoo",2005-03-31,2005-04-19,2010-03-16,2010-03-16,https://patents.google.com/patent/US7680538B2/en
US7660441B2,System and method for fusing geospatial data ,"Southern California, University","Ching-Chien Chen, Craig A. Knoblock, Cyrus Shahabi, Yao-Yi Chiang",2004-07-09,2005-06-28,2010-02-09,2010-02-09,https://patents.google.com/patent/US7660441B2/en
US7656205B2,Dual-injection locked frequency dividing circuit ,National Taiwan University,"Yi-Jan Emery Chen, Tang-Nian Luo",2008-01-21,2008-06-30,2010-02-02,2010-02-02,https://patents.google.com/patent/US7656205B2/en
US7674895B2,Compositions and methods for siRNA inhibition of angiogenesis ,The Trustees Of The University Of Pennsylvania,"Samuel Jotham Reich, Michael J. Tolentino",2002-07-24,2006-09-08,2010-03-09,2010-03-09,https://patents.google.com/patent/US7674895B2/en
US7657935B2,System and methods for detecting malicious email transmission ,The Trustees Of Columbia University In The City Of New York,"Salvatore J. Stolfo, Eleazar Eskin, Shlomo Herskop, Manasi Bhattacharyya",2001-08-16,2002-08-16,2010-02-02,2010-02-02,https://patents.google.com/patent/US7657935B2/en
