search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20070101&after=publication:20061001&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7118531B2,Ingestible medical payload carrying capsule with wireless communication ,The Johns Hopkins University,Jerry A. Krill,2002-09-24,2003-09-24,2006-10-10,2006-10-10,https://patents.google.com/patent/US7118531B2/en
US7133041B2,Apparatus and method for volume processing and rendering ,The Research Foundation Of State University Of New York,"Arie E. Kaufman, Ingmar Bitter, Frank Dachille, Kevin Kreeger, Baoquan Chen",2000-02-25,2001-02-26,2006-11-07,2006-11-07,https://patents.google.com/patent/US7133041B2/en
US7149999B2,Method for correcting a mask design layout ,"The Regents Of The University Of California, The Regents Of The University Of Michigan","Andrew B. Kahng, Puneet Gupta, Dennis Sylvester, Jie Yang",2003-02-25,2004-02-25,2006-12-12,2006-12-12,https://patents.google.com/patent/US7149999B2/en
US7127278B2,"Specially configured lip/cheek pulse oximeter/photoplethysmography probes, selectively with sampler for capnography, and covering sleeves for same ","University Of Florida Research Foundation, Inc., Beta Biomed Services, Inc.","Richard J. Melker, Joachim S. Gravenstein, George Worley",2002-06-20,2004-01-02,2006-10-24,2006-10-24,https://patents.google.com/patent/US7127278B2/en
US7123796B2,Light emissive display based on lightwave coupling ,University Of Cincinnati,"Andrew J. Steckl, Jason C. Heikenfeld",2003-12-08,2003-12-08,2006-10-17,2006-10-17,https://patents.google.com/patent/US7123796B2/en
US7145174B2,Semiconductor device ,"Hewlett-Packard Development Company, Lp., Oregon State University","Hai Q. Chiang, Randy L. Hoffman, David Hong, Nicole L. Dehuff, John F. Wager",2004-03-12,2004-03-12,2006-12-05,2006-12-05,https://patents.google.com/patent/US7145174B2/en
US7126303B2,Robot for surgical applications ,Board Of Regents Of The University Of Nebraska,"Shane Farritor, Dmitry Oleynikov, Stephen R. Platt, Mark Rentschler, Jason Dumpert",2003-07-08,2006-01-24,2006-10-24,2006-10-24,https://patents.google.com/patent/US7126303B2/en
US7154114B2,Cyclometallated iridium carbene complexes for use as hosts ,"Universal Display Corporation, The University Of Southern California","Jason Brooks, Xiao-Chang Li, Bert Alleyne, Mark E. Thompson, Peter Djurovich, Arnold Tamayo",2004-05-18,2005-01-10,2006-12-26,2006-12-26,https://patents.google.com/patent/US7154114B2/en
US7155271B2,System and method for magnetic-resonance-guided electrophysiologic and ablation procedures ,Johns Hopkins University School Of Medicine,"Henry R. Halperin, Ronald D. Berger, Ergin Atalar, Elliot R. McVeigh, Albert Lardo, Hugh Calkins, Joao Lima",1998-11-04,2003-04-28,2006-12-26,2006-12-26,https://patents.google.com/patent/US7155271B2/en
US7148669B2,Predictive digital current controllers for switching power converters ,"The Regents Of The University Of Colorado, A Body Corporate","Dragan Maksimovic, Jingquan Chen, Aleksandar Prodic, Robert W. Erickson",2004-02-02,2004-02-02,2006-12-12,2006-12-12,https://patents.google.com/patent/US7148669B2/en
US7127379B2,Method for the evolutionary design of biochemical reaction networks ,The Regents Of The University Of California,"Bernhard O. Palsson, Jeremy S. Edwards",2001-01-31,2001-08-27,2006-10-24,2006-10-24,https://patents.google.com/patent/US7127379B2/en
US7149564B2,Automatic analysis in virtual endoscopy ,Wake Forest University Health Sciences,"David J. Vining, Gordon W. Hunt, David K. Ahn, David R. Stelts, Yaorong Ge, Paul F. Hemler, Tiffany W. Salido",1994-10-27,2002-03-28,2006-12-12,2006-12-12,https://patents.google.com/patent/US7149564B2/en
US7129091B2,Device and method for pressure-driven plug transport and reaction ,University Of Chicago,"Rustem F. Ismagilov, Joshua David Tice, Helen Song",2002-05-09,2003-05-09,2006-10-31,2006-10-31,https://patents.google.com/patent/US7129091B2/en
US7147894B2,Method for assembling nano objects ,The University Of North Carolina At Chapel Hill,"Otto Z. Zhou, Hideo Shimoda, Soojin Oh",2002-03-25,2002-03-25,2006-12-12,2006-12-12,https://patents.google.com/patent/US7147894B2/en
