search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20080101&after=publication:20071001&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7279704B2,Complexes with tridentate ligands ,"The University Of Southern California, Universal Display Corporation","Robert Walters, Jui-Yi Tsai, Peter B. Mackenzie, Mark E. Thompson",2004-05-18,2005-01-10,2007-10-09,2007-10-09,https://patents.google.com/patent/US7279704B2/en
US7308112B2,Sign based human-machine interaction ,"Honda Motor Co., Ltd., The Ohio State University Research Foundation","Kikuo Fujimura, Xia Liu",2004-05-14,2005-05-12,2007-12-11,2007-12-11,https://patents.google.com/patent/US7308112B2/en
US7280633B2,Path planning and collision avoidance for movement of instruments in a radiation therapy environment ,Loma Linda University Medical Center,"Chieh C. Cheng, David A. Lesyna, Michael F. Moyers",2003-08-12,2004-08-12,2007-10-09,2007-10-09,https://patents.google.com/patent/US7280633B2/en
US7276239B2,Recombinant A2-specific TNFα-specific antibodies ,"Centocor, Inc., New York University","Junming Le, Jan Vilcek, Peter Daddona, John Ghrayeb, David Knight, Scott Siegel",1991-03-18,2005-12-20,2007-10-02,2007-10-02,https://patents.google.com/patent/US7276239B2/en
US7304951B2,Methods and systems for rate-based flow control between a sender and a receiver ,North Carolina State University,Injong Rhee,2000-11-21,2001-11-21,2007-12-04,2007-12-04,https://patents.google.com/patent/US7304951B2/en
US7301644B2,Enhanced optical coherence tomography for anatomical mapping ,University Of Miami,"Robert W. Knighton, Shuliang Jiao, Giovanni Gregori, Carmen A. Puliafito",2004-12-02,2005-09-06,2007-11-27,2007-11-27,https://patents.google.com/patent/US7301644B2/en
US7296091B1,System and method for receiving over a network a broadcast from a broadcast source ,The Trustees Of Columbia University In The City Of New York,"Ashutosh Dutta, Henning Schulzrinne, Yechiam Yemini",1999-06-18,2000-06-19,2007-11-13,2007-11-13,https://patents.google.com/patent/US7296091B1/en
US7291496B2,Ultrasensitive biochemical sensor ,University Of Hawaii,James W. Holm-Kennedy,2003-05-22,2004-05-24,2007-11-06,2007-11-06,https://patents.google.com/patent/US7291496B2/en
US7307876B2,High speed low power annular magnetic devices based on current induced spin-momentum transfer ,New York University,"Andrew Kent, Daniel Stein",2003-08-19,2006-08-01,2007-12-11,2007-12-11,https://patents.google.com/patent/US7307876B2/en
US7286280B2,Brightness enhancement film for backlit image displays ,The University Of British Columbia,"Lorne A. Whitehead, Michele Ann Mossman",2004-05-07,2005-03-16,2007-10-23,2007-10-23,https://patents.google.com/patent/US7286280B2/en
US7299364B2,Method and system to maintain application data secure and authentication token for use therein ,The Regents Of The University Of Michigan,"Brian D. Noble, Mark D. Corner",2002-04-09,2003-06-27,2007-11-20,2007-11-20,https://patents.google.com/patent/US7299364B2/en
