search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20061001&after=publication:20060701&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7083970B2,Methods and compositions for the production of orthogonal tRNA-aminoacyl tRNA synthetase pairs ,"The Scripps Research Institute, The Regents Of The University Of California","Peter Schultz, Lei Wang, John Christopher Anderson, Jason Chin, David R. Liu, Thomas J. Magliery, Eric L. Meggers, Ryan Aaron Mehl, Miro Pastrnak, Stephen William Santoro, Zhiwen Zhang",2001-04-19,2002-04-19,2006-08-01,2006-08-01,https://patents.google.com/patent/US7083970B2/en
US7093179B2,Method and coding means for error-correction utilizing concatenated parity and turbo codes ,University Of Florida,John M. Shea,2001-03-22,2002-03-20,2006-08-15,2006-08-15,https://patents.google.com/patent/US7093179B2/en
US7072720B2,Devices and methods for vagus nerve stimulation ,Emory University,John D. Puskas,1999-06-25,2002-06-14,2006-07-04,2006-07-04,https://patents.google.com/patent/US7072720B2/en
US7105596B2,Methods for producing composites of single-wall carbon nanotubes and compositions thereof ,William Marsh Rice University,"Richard E. Smalley, Daniel T. Colbert, Hongjie Dai, Jie Liu, Andrew G. Rinzler, Jason H. Hafner, Kenneth A. Smith, Ting Guo, Pavel Nikolaev, Andreas Thess",1997-03-07,2001-12-28,2006-09-12,2006-09-12,https://patents.google.com/patent/US7105596B2/en
US7070775B2,Recombinant A2-specific TNFα specific antibodies ,"New York University, Centocor, Inc.","Junming Le, Jan Vilcek, Peter Daddona, John Ghrayeb, David Knight, Scott Siegel",1991-03-18,2002-07-18,2006-07-04,2006-07-04,https://patents.google.com/patent/US7070775B2/en
US7084605B2,Energy harvesting circuit ,University Of Pittsburgh,"Marlin H. Mickle, Christopher C. Capelli, Harold Swift",2003-10-29,2004-10-18,2006-08-01,2006-08-01,https://patents.google.com/patent/US7084605B2/en
US7113594B2,Systems and methods for identity-based encryption and related cryptographic techniques ,"The Board Of Trustees Of The Leland Stanford University, University Of California Davis","Dan Boneh, Matthew Franklin",2001-08-13,2002-08-13,2006-09-26,2006-09-26,https://patents.google.com/patent/US7113594B2/en
US7097662B2,"In-vivo orthopedic implant diagnostic device for sensing load, wear, and infection ","Ut-Battelle, Llc, University Of Tennessee Research Foundation","Boyd McCutchen Evans, III, Thomas G. Thundat, Richard D. Komistek, Douglas A. Dennis, Mohamed Mahfouz",2004-08-25,2004-08-25,2006-08-29,2006-08-29,https://patents.google.com/patent/US7097662B2/en
US7089266B2,Computer systems and methods for the query and visualization of multidimensional databases ,The Board Of Trustees Of The Leland Stanford Jr. University,"Chris Stolte, Diane L. Tang, Patrick Hanrahan",2003-06-02,2003-06-02,2006-08-08,2006-08-08,https://patents.google.com/patent/US7089266B2/en
US7075658B2,Method for optical coherence tomography imaging with molecular contrast ,"Duke University, Case Western Reserve University","Joseph A. Izatt, Divakar K. Rao, Changhuei Yang, Michael A. Choma, Siavash Yazdanfar, Andrew M. Rollins, Brian E. Applegate",2003-01-24,2004-01-26,2006-07-11,2006-07-11,https://patents.google.com/patent/US7075658B2/en
