search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20120301&after=publication:20120201&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8112142B2,Assessing the condition of a joint and devising treatment ,The Board Of Trustees Of The Leland Stanford Junior University,"Eugene J. Alexander, Thomas P. Andriacchi, Philipp Lang, Daniel Steines",1998-09-14,2007-06-27,2012-02-07,2012-02-07,https://patents.google.com/patent/US8112142B2/en
US8126279B2,Lifting-based view compensated compression and remote visualization of volume rendered images ,"The University Of Arizona, Siemens Aktiengesellschaft","Michael W. Marcellin, Ali Bilgin, Hariharan G. Lalgudi, Mariappan S. Nadar",2007-11-19,2008-06-26,2012-02-28,2012-02-28,https://patents.google.com/patent/US8126279B2/en
US8119380B2,Methods and materials for making and using transgenic dicamba-degrading organisms ,Board Of Regents Of University Of Nebraska,"Donald P. Weeks, Xiao-Zhuo Wang, Patricia L. Herman",1997-04-04,2010-09-03,2012-02-21,2012-02-21,https://patents.google.com/patent/US8119380B2/en
US8118752B2,Apparatus and methods for mapping retinal function ,The Board Of Trustees Of The University Of Illinois,"John R. Hetling, Tamas Ban, Safa Rahmani",2006-02-16,2008-06-09,2012-02-21,2012-02-21,https://patents.google.com/patent/US8118752B2/en
US8116915B2,Methods and apparatus using hierarchical priority and control algorithms for grid-integrated vehicles ,University Of Delaware,Willett Kempton,2008-03-03,2009-03-03,2012-02-14,2012-02-14,https://patents.google.com/patent/US8116915B2/en
US8113050B2,Robust six degree-of-freedom micromachined gyroscope with anti-phase drive scheme and method of operation of the same ,The Regents Of The University Of California,"Cenk Acar, Andrei Shkel, Adam R. Schofield, Lynn E. Costlow, Asad M. Madni",2006-01-25,2006-01-25,2012-02-14,2012-02-14,https://patents.google.com/patent/US8113050B2/en
US8114586B2,Prevention and treatment of HCV infection employing antibodies directed against conformational and linear epitopes ,Board Of Trustees Of Leland Stanford Junior University,"Steven K. H. Foung, Kenneth G. Hadlock, Zhen-Yong Keck",1998-11-05,2008-12-11,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114586B2/en
US8119530B2,Pattern forming method and semiconductor device manufacturing method ,"National University Corporation Nagoya University, Tokyp Electron Limited","Masaru Hori, Yoshiro Kabe, Toshihiko Shiozawa, Junichi Kitagawa",2006-12-25,2007-12-20,2012-02-21,2012-02-21,https://patents.google.com/patent/US8119530B2/en
US8126261B2,3D face reconstruction from 2D images ,University Of Southern California,"Gerard Medioni, Douglas Fidaleo",2006-01-31,2007-07-25,2012-02-28,2012-02-28,https://patents.google.com/patent/US8126261B2/en
US8118866B2,Method for heart valve implantation ,The Trustees Of The University Of Pennsylvania,"Howard C. Herrmann, Nilesh Mankame, Suresh G. K. Ananthasuresh",2003-07-21,2009-10-21,2012-02-21,2012-02-21,https://patents.google.com/patent/US8118866B2/en
US8114717B2,"Methods to shape the electric field in electron devices, passivate dislocations and point defects, and enhance the luminescence efficiency of optical devices ",The Regents Of The University Of California,"Tomas Palacios, Likun Shen, Umesh K. Mishra",2005-11-15,2006-11-15,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114717B2/en
US8114848B2,Immunomodulatory oligonucleotides ,"The United States Of America As Represented By The Department Of Health And Human Services, University Of Iowa Research Foundation, Coley Pharmaceutical Group, Inc.","Arthur M. Krieg, Dennis Klinman, Alfred D. Steinberg",1994-07-15,2005-05-11,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114848B2/en
US8109816B1,Method and apparatus for measurement and analysis of a golf swing ,Yale University,Robert D Grober,2007-05-31,2007-05-31,2012-02-07,2012-02-07,https://patents.google.com/patent/US8109816B1/en
US8119101B2,Anti-CD74 immunoconjugates and methods of use ,"The Ohio State University, Immunomedics, Inc.","John C. Byrd, David M. Goldenberg, Hans J. Hansen",1999-05-10,2010-05-28,2012-02-21,2012-02-21,https://patents.google.com/patent/US8119101B2/en
US8124084B2,Compositions and methods for immunomodulation in an organism using IL-15 and soluble IL-15Ra ,University Of Connecticut,"Leo Lefrancois, Thomas A. Stoklasek",2005-05-17,2006-05-17,2012-02-28,2012-02-28,https://patents.google.com/patent/US8124084B2/en
US8115683B1,Rectenna solar energy harvester ,University Of South Florida,"Elias K Stefanakos, D Yogi Goswami, Shekhar Bhansali",2008-05-06,2009-05-06,2012-02-14,2012-02-14,https://patents.google.com/patent/US8115683B1/en
US8124726B2,Contoxin analogues and methods for synthesizing same ,"Monash University, Polychip Pharmaceuticals Pty Ltd.","Andrea Robinson, Jomana Elaridi",2006-02-17,2009-05-20,2012-02-28,2012-02-28,https://patents.google.com/patent/US8124726B2/en
US8118744B2,"Methods, systems and computer program products for ultrasound shear wave velocity estimation and shear modulus reconstruction ",Duke University,"Mark L. Palmeri, Kathryn R. Nightingale, Gregg E. Trahey, Kristin D. Frinkley",2007-02-09,2008-02-08,2012-02-21,2012-02-21,https://patents.google.com/patent/US8118744B2/en
US8126247B2,Image preprocessing system for 3D image database construction ,National Tsing Hua University,"Ann-Shyn Chiang, Ping-Chang Lee, Yu-Tai Ching, Chao-Jun Zhuang, Hsiu-Ming Chang, Yung-Chang Chen, Chang-Huain Hsieh",2009-05-19,2009-05-19,2012-02-28,2012-02-28,https://patents.google.com/patent/US8126247B2/en
US8110026B2,Functional graphene-polymer nanocomposites for gas barrier applications ,The Trustees Of Princeton University,"Robert Prud'Homme, Christopher O'Neil, Bulent Ozbas, Ilhan Aksay, Richard Register, Douglas Adamson",2006-10-06,2006-10-06,2012-02-07,2012-02-07,https://patents.google.com/patent/US8110026B2/en
US8110823B2,III-V photonic integration on silicon ,The Regents Of The University Of California,John E. Bowers,2006-01-20,2006-09-22,2012-02-07,2012-02-07,https://patents.google.com/patent/US8110823B2/en
US8116551B2,Method and system for image analysis ,"University College, Dublin, National University of Ireland","William Gallagher, Elton Rexhepaj, Donal Brennan",2007-12-04,2008-12-04,2012-02-14,2012-02-14,https://patents.google.com/patent/US8116551B2/en
US8111465B2,"Electrofluidic devices, visual displays, and methods for making and operating such electrofluidic devices ","University Of Cincinnati, Sun Chemical Corporation","Jason Heikenfeld, Bo Sun, April Milarcik, George Robertson, Russell Schwartz",2007-09-12,2008-09-12,2012-02-07,2012-02-07,https://patents.google.com/patent/US8111465B2/en
US8114673B2,Sensor for oxidising agents ,University Of Strathclyde,"Andrew Mills, Soo-Keun Lee",2001-09-05,2002-09-02,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114673B2/en
US8121212B2,"Transmitting apparatus and method, and receiving apparatus and method in multple antenna system ","Electronics And Telecommunications Research Institute, Industry-Academic Cooperation Foundation, Yonsei University","Dong-Seung Kwon, Young-Seog Song, Seung-joon Lee, Jong-Ee Oh, Chungyong Lee, Myeong-Cheol Shin",2005-12-09,2006-12-04,2012-02-21,2012-02-21,https://patents.google.com/patent/US8121212B2/en
US8125910B2,Communication system ,"Nec Corporation, Regents Of The University Of California","Hideyuki Shimonishi, M. Yahya Sanadidi, Mario Gerla",2004-06-25,2004-06-25,2012-02-28,2012-02-28,https://patents.google.com/patent/US8125910B2/en
US8109894B2,Indwelling heat exchange catheter and method of using same ,"Zoll Circulation, Inc., The Regents Of The University Of California","Wayne A. Noda, Mike L. Jones, Scott M. Evans, Blair D. Walker, William J. Worthen, Yves Pierre Gobin",1998-04-21,2011-02-04,2012-02-07,2012-02-07,https://patents.google.com/patent/US8109894B2/en
US8113129B1,Pallet system ,Clemson University Research Foundation,"Rupert Andrew Hurley, Judson T. Valentine, Matthew J. Whitlock, Jason Szymanski, Kyle D. Dunno",2008-08-13,2009-08-12,2012-02-14,2012-02-14,https://patents.google.com/patent/US8113129B1/en
US8122317B1,Two-dimensional parity technique to facilitate error detection and correction in memory arrays ,Arizona Board Of Regents For And On Behalf Of Arizona State University,"Lawrence T. Clark, Karl C. Mohr",2007-06-27,2008-06-27,2012-02-21,2012-02-21,https://patents.google.com/patent/US8122317B1/en
US8109050B2,Flooring apparatus for reducing impact energy during a fall ,University Of Notre Dame Du Lac,Timothy C. Ovaert,2006-02-09,2007-02-09,2012-02-07,2012-02-07,https://patents.google.com/patent/US8109050B2/en
US8124109B2,Vault compositions for immunization against chlamydia genital infection ,The Regents Of The University Of California,"Valerie A. Kickhoefer, Leonard H. Rome, Kathleen A. Kelly, Cheryl I. Champion",2008-05-15,2009-05-15,2012-02-28,2012-02-28,https://patents.google.com/patent/US8124109B2/en
US8123834B2,High gain selective metal organic framework preconcentrators ,The Board Of Trustees Of The University Of Illinois,"Richard I. Masel, Zheng Ni, Mark A. Shannon",2005-10-06,2006-10-06,2012-02-28,2012-02-28,https://patents.google.com/patent/US8123834B2/en
US8110390B2,"PRRS viruses, infectious clones, mutants thereof, and methods of use ",Regents Of The University Of Minnesota,"Kay S. Faaberg, Jun Han, Gongping Liu, Yue Wang",2005-06-24,2006-06-23,2012-02-07,2012-02-07,https://patents.google.com/patent/US8110390B2/en
US8112594B2,Efficient point-to-point enqueue and dequeue communications ,The Regents Of The University Of Colorado,"John Giacomoni, Manish Vachharajani",2007-04-20,2008-04-21,2012-02-07,2012-02-07,https://patents.google.com/patent/US8112594B2/en
US8111156B2,Intruder detection system and method ,National Chiao Tung University,"Kai-Tai Song, Chia-Hao Lin, Chih-Sheng Lin, Su-Hen Yang",2008-06-04,2008-10-30,2012-02-07,2012-02-07,https://patents.google.com/patent/US8111156B2/en
US8121245B2,Imaging system ,The University Of Chicago,"Xiaochuan Pan, Yu Zou, Lifeng Yu, Chien-Min Kao, Martin King, Maryellen Giger, Dan Xia, Howard Halpern, Charles Pelizzari, Emil Y. Sidky, Seungryong Cho",2004-02-10,2011-01-19,2012-02-21,2012-02-21,https://patents.google.com/patent/US8121245B2/en
US8114289B2,Method and apparatus for microfiltration to perform cell separation ,"California Institute Of Technology, University Of Southern California","Siyang Zheng, Richard Cote, Henry Lin, Bo Lu, Yu-Chong Tai",2008-01-29,2009-01-26,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114289B2/en
US8110594B2,Diarylthiohydantoin compounds ,The Regents Of The University Of California,"Michael E. Jung, Dongwon Yoo, Charles L. Sawyers, Chris Tran, John Wongvipat",2006-03-29,2007-03-29,2012-02-07,2012-02-07,https://patents.google.com/patent/US8110594B2/en
US8117902B2,"Nanopatterned surfaces and related methods for selective adhesion, sensing and separation ",University Of Massachusetts,"Maria Monica Santore, Surachate Kalasin",2005-11-03,2008-06-23,2012-02-21,2012-02-21,https://patents.google.com/patent/US8117902B2/en
US8125648B2,Polarization-sensitive spectral interferometry ,"Board Of Regents, The University Of Texas System","Thomas E. Milner, Nathaniel J. Kemp, Eunha Kim",2006-06-05,2008-06-02,2012-02-28,2012-02-28,https://patents.google.com/patent/US8125648B2/en
US8112417B2,Method and system for data classification in the presence of a temporal non-stationarity ,New York University,"Gideon Berger, Bhubaneswar Mishra",2000-05-17,2010-07-26,2012-02-07,2012-02-07,https://patents.google.com/patent/US8112417B2/en
US8119656B2,Inhibitors of the influenza virus non-structural 1 protein ,The Board Of Regents Of The University Of Texas System,"Michael Roth, Beatriz Fontoura, Shuguang Wei, Neal Satterly",2007-12-07,2008-12-08,2012-02-21,2012-02-21,https://patents.google.com/patent/US8119656B2/en
US8110524B2,Gas storage cylinder formed from a composition containing thermally exfoliated graphite ,The Trustees Of Princeton University,"Robert K. Prud'homme, Ilhan A. Aksay",2005-10-14,2008-08-19,2012-02-07,2012-02-07,https://patents.google.com/patent/US8110524B2/en
US8114367B2,Systems and methods for carbon capture and sequestration and compositions derived therefrom ,"Rutgers, The State University Of New Jersey","Richard E. Riman, Vahit Atakan",2007-11-15,2008-11-14,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114367B2/en
US8114698B2,High light extraction efficiency nitride based light emitting diode by surface roughening ,The Regents Of The University Of California,"Hong Zhong, Anurag Tyagi, Kenneth J. Vampola, James S. Speck, Steven P. DenBaars, Shuji Nakamura",2007-11-30,2008-12-01,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114698B2/en
US8125878B2,Touch panel and display device using the same ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Kai-Li Jiang, Liang Liu, Shou-Shan Fan",2007-12-27,2008-09-29,2012-02-28,2012-02-28,https://patents.google.com/patent/US8125878B2/en
US8121361B2,Motion tracking system for real time adaptive imaging and spectroscopy ,"The Queen's Medical Center, The University Of Hawaii, The Medical College Of Wisconsin, Inc., Uwm Research Foundation, Inc.","Thomas Michael Ernst, Thomas Edmund Prieto, Brian Stewart Randall Armstrong",2006-05-19,2007-05-18,2012-02-21,2012-02-21,https://patents.google.com/patent/US8121361B2/en
US8119779B2,Phosphoramidate derivatives ,University College Cardiff Consultants Limited,"Christopher McGuigan, Antonella Carangio, Bruce Caterson, Clare Elizabeth Hughes, Clare Louise Curtis",2004-01-19,2005-01-18,2012-02-21,2012-02-21,https://patents.google.com/patent/US8119779B2/en
