search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20090101&after=publication:20081001&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7431968B1,Process and apparatus for organic vapor jet deposition ,The Trustees Of Princeton University,"Max Shtein, Stephen R. Forrest",2001-09-04,2002-09-04,2008-10-07,2008-10-07,https://patents.google.com/patent/US7431968B1/en
US7436496B2,Distance image sensor ,National University Corporation Shizuoka University,Shoji Kawahito,2003-02-03,2004-01-28,2008-10-14,2008-10-14,https://patents.google.com/patent/US7436496B2/en
US7458981B2,Spinal implant and method for restricting spinal flexion ,The Board Of Trustees Of The Leland Stanford Junior University,"Louie Fielding, Ian Bennett, Colin Cahill, Pat Arensdorf, Ralph Crisostomo, Todd Alamin",2004-03-09,2005-03-09,2008-12-02,2008-12-02,https://patents.google.com/patent/US7458981B2/en
US7448084B1,System and methods for detecting intrusions in a computer system by monitoring operating system registry accesses ,The Trustees Of Columbia University In The City Of New York,"Frank Apap, Andrew Honig, Hershkop Shlomo, Eleazar Eskin, Salvatore J. Stolfo",2002-01-25,2003-01-27,2008-11-04,2008-11-04,https://patents.google.com/patent/US7448084B1/en
US7452371B2,Implantable vascular device ,"Cook Incorporated, Oregon Health & Science University, Cook Biotech, Inc.","Dusan Pavcnik, Frederick S. Keller, Josef Rosch, Thomas A. Osborne, Brian L. Bates, Christopher G. Dixon, Andrew K. Hoffa, B. Leonard II Raymond, Joseph F. Obermiller, John A. DeFord, Joseph W. Roberts",1999-06-02,2001-02-05,2008-11-18,2008-11-18,https://patents.google.com/patent/US7452371B2/en
US7445855B2,Cationic metal-carbene complexes ,"The University Of Southern California, Universal Display Corporation","Peter B. Mackenzie, Robert Walters, Jason Brooks, Mark E. Thompson",2004-05-18,2005-01-10,2008-11-04,2008-11-04,https://patents.google.com/patent/US7445855B2/en
US7439014B2,Droplet-based surface modification and washing ,"Advanced Liquid Logic, Inc., Duke University","Vamsee K. Pamula, Vijay Srinivasan, Allen E. Eckhardt, Michael G. Pollack, Richard B. Fair",2006-04-18,2006-12-15,2008-10-21,2008-10-21,https://patents.google.com/patent/US7439014B2/en
US7462512B2,Floating gate field effect transistors for chemical and/or biological sensing ,Polytechnic University,"Kalle Levon, Arifur Rahman, Tsunehiro Sai, Ben Zhao",2004-01-12,2005-01-11,2008-12-09,2008-12-09,https://patents.google.com/patent/US7462512B2/en
US7459547B2,Methods and compositions for controlling efficacy of RNA silencing ,University Of Massachusetts,"Phillip D. Zamore, Guiliang Tang",2003-06-02,2004-06-02,2008-12-02,2008-12-02,https://patents.google.com/patent/US7459547B2/en
US7466848B2,Method and apparatus for automatically detecting breast lesions and tumors in images ,"Rutgers, The State University Of New Jersey","Dimitris N. Metaxas, Anant Madabhushi",2002-12-13,2003-12-15,2008-12-16,2008-12-16,https://patents.google.com/patent/US7466848B2/en
US7445926B2,Fluid control structures in microfluidic devices ,The Regents Of The University Of California,"Richard A. Mathies, William H. Grover, Alison Skelley, Eric Lagally, Chung N. Liu",2002-12-30,2003-12-29,2008-11-04,2008-11-04,https://patents.google.com/patent/US7445926B2/en
US7459145B2,Multifunctional magnetic nanoparticle probes for intracellular molecular imaging and monitoring ,"Georgia Tech Research Corporation, Emory University","Gang Bao, Shuming Nie, Nitin Nitin, Leslie LaConte",2002-10-25,2003-10-27,2008-12-02,2008-12-02,https://patents.google.com/patent/US7459145B2/en
US7453646B2,Fluidic adaptive lens systems and methods ,The Regents Of The University Of California,Yu-hwa Lo,2004-03-31,2007-03-07,2008-11-18,2008-11-18,https://patents.google.com/patent/US7453646B2/en
US7440590B1,System and technique for retrieving depth information about a surface by projecting a composite image of modulated light patterns ,University Of Kentucky Research Foundation,"Laurence G. Hassebrook, Daniel L. Lau, Chun Guan",2002-05-21,2003-05-21,2008-10-21,2008-10-21,https://patents.google.com/patent/US7440590B1/en
US7446712B2,Composite right/left-handed transmission line based compact resonant antenna for RF module integration ,The Regents Of The University Of California,"Tatsuo Itoh, Cheng-jung Lee, Kevin M. Leong",2005-12-21,2006-12-20,2008-11-04,2008-11-04,https://patents.google.com/patent/US7446712B2/en
US7450735B1,Tracking across multiple cameras with disjoint views ,"University Of Central Florida Research Foundation, Inc.","Mubarak Shah, Omar Javed, Khurram Shafique, Zeeshan Rasheed",2003-10-16,2004-10-16,2008-11-11,2008-11-11,https://patents.google.com/patent/US7450735B1/en
US7458661B2,Method and apparatus for promoting the complete transfer of liquid drops from a nozzle ,The Regents Of The University Of California,"Chang-Jin Kim, Uichong Brandon Yi",2005-01-25,2006-01-23,2008-12-02,2008-12-02,https://patents.google.com/patent/US7458661B2/en
US7444011B2,Imaging system performing substantially exact reconstruction and using non-traditional trajectories ,University Of Chicago,"Xiaochuan Pan, Yu Zou, Lifeng Yu, Chien-Min Kao, Martin King, Maryellen Giger, Dan Xia, Howard Halpern, Charles Pelizzari, Emil Y. Sidky, Seungryong Cho",2004-02-10,2006-04-24,2008-10-28,2008-10-28,https://patents.google.com/patent/US7444011B2/en
US7465550B2,Method for screening taste-modulating compounds ,"The Regents Of The University Of California, The United States Of America As Represented By The Department Of Health And Human Services","Charles S. Zuker, Jon Elliot Adler, Nicholas J.P. Ryba, Ken Mueller, Mark Hoon",1999-09-10,2004-10-07,2008-12-16,2008-12-16,https://patents.google.com/patent/US7465550B2/en
US7435755B2,CDDO-compounds and combination therapies thereof ,"The Trustees Of Dartmouth College, Board Of Regents, The University Of Texas System","Marina Konopleva, Michael Andreeff, Michael B. Sporn",2000-11-28,2001-11-28,2008-10-14,2008-10-14,https://patents.google.com/patent/US7435755B2/en
US7459121B2,Method for continuous fabrication of carbon nanotube networks or membrane materials ,Florida State University Research Foundation,"Zhiyong Liang, Ben Wang, Chun Zhang, Jonnattan T. Ugarte, Chih-Yen Lin, James Thagard",2004-07-21,2005-07-20,2008-12-02,2008-12-02,https://patents.google.com/patent/US7459121B2/en
US7444515B2,Method and apparatus for detecting predefined signatures in packet payload using Bloom filters ,Washington University,"Sarang Dharmapurikar, Praveen Krishnamurthy, Todd Sproull, John Lockwood",2003-08-14,2003-08-14,2008-10-28,2008-10-28,https://patents.google.com/patent/US7444515B2/en
US7459529B2,AIMP2-DX2 and its uses ,Seoul National University Industry Foundation,Sunghoon Kim,2004-11-24,2005-11-01,2008-12-02,2008-12-02,https://patents.google.com/patent/US7459529B2/en
US7456154B2,Antisense oligonucleotide against human acetylcholinesterase (AChE) and uses thereof ,Yissum Research Development Company Of The Hebrew University Of Jerusalem,"Hermona Soreq, Tama Evron, Shlomo Seidman",2001-05-24,2006-02-01,2008-11-25,2008-11-25,https://patents.google.com/patent/US7456154B2/en
US7452334B2,"Antenna stent device for wireless, intraluminal monitoring ",The Regents Of The University Of Michigan,"Yogesh B. Gianchandani, Kenichi Takahata, Kensall D. Wise, Andrew D. Dehennis",2002-12-16,2004-09-13,2008-11-18,2008-11-18,https://patents.google.com/patent/US7452334B2/en
US7453472B2,System and method for visual annotation and knowledge representation ,University Of Utah Research Foundation,"Patricia Anne Goede, Jason R. Lauman, Christopher Cochella",2002-05-31,2003-05-31,2008-11-18,2008-11-18,https://patents.google.com/patent/US7453472B2/en
US7441953B2,Radiographic medical imaging system using robot mounted source and sensor for dynamic image capture and tomography ,"University Of Florida Research Foundation, Inc.",Scott Arthur Banks,2004-10-07,2005-10-07,2008-10-28,2008-10-28,https://patents.google.com/patent/US7441953B2/en
US7432614B2,Single-inductor multiple-output switching converters in PCCM with freewheel switching ,Hong Kong University Of Science And Technology,"Dongsheng Ma, Wing-Hung Ki, Chi-ying Tsui",2003-01-17,2003-12-29,2008-10-07,2008-10-07,https://patents.google.com/patent/US7432614B2/en
US7446328B2,Patient alignment system with external measurement and object coordination for radiation therapy system ,Loma Linda University Medical Centre,"Nickolas S. Rigney, Daniel C. Anderson, David A. Lesyna, Daniel W. Miller, Michael F. Moyers, Chieh C. Cheng, Michael A. Baumann",2003-08-12,2007-04-02,2008-11-04,2008-11-04,https://patents.google.com/patent/US7446328B2/en
US7454326B2,Phrase to phrase joint probability model for statistical machine translation ,University Of Southern California,"Daniel Marcu, William Wong, Kevin Knight, Philipp Koehn",2002-03-27,2003-03-27,2008-11-18,2008-11-18,https://patents.google.com/patent/US7454326B2/en
US7471291B2,Apparatus and method for real-time volume processing and universal three-dimensional rendering ,The Research Foundation Of State University Of New York,"Arie E. Kaufman, Ingmar Bitter, Frank Dachille, Kevin Kreeger, Baoquan Chen",2000-02-25,2006-11-06,2008-12-30,2008-12-30,https://patents.google.com/patent/US7471291B2/en
US7447310B2,Lean multiplication of multi-precision numbers over GF(2m) ,The State Of Oregon Acting By And Through The State Board Of Higher Education On Behalf Of Oregon State University,"Çetin K. Koç, Serdar S. Erdem",2002-08-06,2003-08-06,2008-11-04,2008-11-04,https://patents.google.com/patent/US7447310B2/en
US7441174B2,Embedded state metric storage for MAP decoder of turbo codes ,The University Of Hong Kong,"Victor On-Kwok Li, Jianhao Hu, Alfred K. K. Wong",2005-09-07,2005-09-07,2008-10-21,2008-10-21,https://patents.google.com/patent/US7441174B2/en
US7452538B2,Death domain containing receptor 4 antibodies and methods ,"Human Genome Sciences, Inc., The Regents Of The University Of Michigan","Jian Ni, Craig A. Rosen, James G. Pan, Reiner L. Gentz, Vishva M. Dixit",1997-01-28,2003-08-27,2008-11-18,2008-11-18,https://patents.google.com/patent/US7452538B2/en
US7459627B2,Coaxial cable ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Hsi-Fu Lee, Liang Liu, Kai-Li Jiang, Caesar Chen, Shou-Shan Fan",2007-04-11,2007-09-24,2008-12-02,2008-12-02,https://patents.google.com/patent/US7459627B2/en
US7447546B2,Methods of neurostimulating targeted neural tissue ,"Spinal Modulation, Inc., The Board Of Trustees Of The Leland Stanford Junior University","Daniel H. Kim, Mir A. Imran",2004-09-08,2005-09-07,2008-11-04,2008-11-04,https://patents.google.com/patent/US7447546B2/en
