search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20050701&after=publication:20050401&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6875176B2,Systems and methods for making noninvasive physiological assessments ,"Aller Physionix Limited, University Of Washington","Pierre D. Mourad, Michel Kliot, Ali Mesiwala, Rex Patterson, Jeffrey G. Jarvik",2000-11-28,2001-11-28,2005-04-05,2005-04-05,https://patents.google.com/patent/US6875176B2/en
US6887202B2,Systems and methods for monitoring health and delivering drugs transdermally ,"Science Applications International Corporation, Georgetown, University","John F. Currie, Makarand Paranjape, Carl C. Peck, Robert White, Thomas W. Schneider",2000-06-01,2001-05-30,2005-05-03,2005-05-03,https://patents.google.com/patent/US6887202B2/en
US6911132B2,Apparatus for manipulating droplets by electrowetting-based techniques ,Duke University,"Vamsee K. Pamula, Michael G. Pollack, Philip Y. Paik, Hong Ren, Richard B. Fair",2002-09-24,2002-09-24,2005-06-28,2005-06-28,https://patents.google.com/patent/US6911132B2/en
US6898454B2,Systems and methods for evaluating the urethra and the periurethral tissues ,"The Johns Hopkins University, Surgi-Vision, Inc.","Ergin Atalar, Harald Hartmann Quick, Parag Karmarkar",1996-04-25,2001-04-02,2005-05-24,2005-05-24,https://patents.google.com/patent/US6898454B2/en
US6888536B2,Method and apparatus for integrating manual input ,The University Of Delaware,"Wayne Westerman, John G. Elias",1998-01-26,2001-07-31,2005-05-03,2005-05-03,https://patents.google.com/patent/US6888536B2/en
US6882051B2,"Nanowires, nanostructures and devices fabricated therefrom ",The Regents Of The University Of California,"Arun Majumdar, Ali Shakouri, Timothy D. Sands, Peidong Yang, Samuel S. Mao, Richard E. Russo, Henning Feick, Eicke R. Weber, Hannes Kind, Michael Huang, Haoquan Yan, Yiying Wu, Rong Fan",2001-03-30,2002-03-29,2005-04-19,2005-04-19,https://patents.google.com/patent/US6882051B2/en
US6899945B2,Entangled single-wall carbon nanotube solid material and methods for making same ,William Marsh Rice University,"Richard E. Smalley, Ramesh Sivarajan",2002-03-19,2003-03-19,2005-05-31,2005-05-31,https://patents.google.com/patent/US6899945B2/en
US6891672B2,High dynamic range display devices ,The University Of British Columbia,"Lorne Whitehead, Greg Ward, Wolfgang Stuerzlinger, Helge Seetzen",2001-02-27,2002-02-27,2005-05-10,2005-05-10,https://patents.google.com/patent/US6891672B2/en
US6895077B2,System and method for x-ray fluoroscopic imaging ,University Of Massachusetts Medical Center,"Andrew Karellas, Srinivasan Vedantham, Sankararaman Suryanarayanan",2001-11-21,2001-11-21,2005-05-17,2005-05-17,https://patents.google.com/patent/US6895077B2/en
US6909913B2,Method and system for producing interactive three-dimensional renderings of selected body organs having hollow lumens to enable simulated movement through the lumen ,Wake Forest University Health Sciences,David J. Vining,1994-10-27,2001-07-03,2005-06-21,2005-06-21,https://patents.google.com/patent/US6909913B2/en
US6893464B2,Method and apparatus for providing an expandable spinal fusion cage ,The Regents Of The University Of California,P. Douglas Kiester,2002-03-05,2002-03-05,2005-05-17,2005-05-17,https://patents.google.com/patent/US6893464B2/en
US6908463B2,"Electrothermal device for coagulating, sealing and cutting tissue during surgery ",The Trustees Of Columbia University In The City Of New York,"Michael R. Treat, Fred H. Co, George D. Hermann, Thomas A. Howell, Theodore R. Kucklick, Michelle Y. Monfort, Kenneth H. Mollenauer",1997-03-05,2001-04-20,2005-06-21,2005-06-21,https://patents.google.com/patent/US6908463B2/en
US6888438B2,Planar printed circuit-board transformers with effective electromagnetic interference (EMI) shielding ,City University Of Hong Kong,"Ron Shu Yuen Hui, Sai Chun Tang",2001-06-15,2002-10-28,2005-05-03,2005-05-03,https://patents.google.com/patent/US6888438B2/en
US6907293B2,"Systems and methods for selectively stimulating components in, on, or near the pudendal nerve or its branches to achieve selective physiologic responses ",Case Western Reserve University,"Warren M. Grill, Kenneth J. Gustafson, Graham H. Creasey",2001-03-30,2002-03-29,2005-06-14,2005-06-14,https://patents.google.com/patent/US6907293B2/en
US6882881B1,"Techniques using heat flow management, stimulation, and signal analysis to treat medical disorders ",The Johns Hopkins University,"Ronald P. Lesser, W. Robert S. Webber, Gholam K. Motamedi, Yuko Mizuno-Matsumoto",1999-10-19,2000-10-19,2005-04-19,2005-04-19,https://patents.google.com/patent/US6882881B1/en
US6909912B2,"Non-invasive perfusion monitor and system, specially configured oximeter probes, methods of using same, and covers for probes ","University Of Florida, Beta Biomed, Inc.",Richard Melker,2002-06-20,2002-06-20,2005-06-21,2005-06-21,https://patents.google.com/patent/US6909912B2/en
US6902830B2,Organometallic complexes as phosphorescent emitters in organic LEDs ,"The Trustees Of Princeton University, The University Of Southern California","Mark E. Thompson, Peter Djurovic, Sergey Lamansky, Drew Murphy, Raymond Kwong, Feras Abdel-Razzaq, Stephen R. Forrest, Marc A. Baldo, Paul E. Burrows",1998-09-14,2002-06-13,2005-06-07,2005-06-07,https://patents.google.com/patent/US6902830B2/en
US6876755B1,Face sub-space determination ,The University Of Manchester,"Christopher J. Taylor, Timothy F. Cootes, Gareth Edwards, Nicholas P. Costen",1998-12-02,1999-11-29,2005-04-05,2005-04-05,https://patents.google.com/patent/US6876755B1/en
US6895279B2,Method and apparatus to treat disorders of gastrointestinal peristalsis ,Alfred E. Mann Institute For Biomedical Engineering At The University Of Southern California,"Gerald E. Loeb, Frances J. R. Richmond",2000-09-15,2001-09-14,2005-05-17,2005-05-17,https://patents.google.com/patent/US6895279B2/en
US6879735B1,Method of digital image enhancement and sharpening ,University Of Utah Reasearch Foundation,"Oleg N. Portniaguine, Michael S. Zhdanov",1998-09-14,1999-09-13,2005-04-12,2005-04-12,https://patents.google.com/patent/US6879735B1/en
US6884596B2,Screening and therapeutic methods for promoting wakefulness and sleep ,The Regents Of The University Of California,"Olivier Civelli, Steven Lin",2000-04-28,2001-08-17,2005-04-26,2005-04-26,https://patents.google.com/patent/US6884596B2/en
US6900070B2,Dislocation reduction in non-polar gallium nitride thin films ,The Regents Of The University Of California,"Michael D. Craven, Steven P. DenBaars, James Stephen Speck",2002-04-15,2003-04-15,2005-05-31,2005-05-31,https://patents.google.com/patent/US6900070B2/en
US6891082B2,Transgenic non-human animals expressing a truncated activintype II receptor ,The Johns Hopkins University School Of Medicine,"Se-Jin Lee, Alexandra C. McPherron",1997-08-01,2001-04-24,2005-05-10,2005-05-10,https://patents.google.com/patent/US6891082B2/en
