search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20050101&after=publication:20041001&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6805697B1,Method and system for fusing a spinal region ,University Of Virginia Patent Foundation,"Gregory A. Helm, David F. Kallmes, Gerald R. Hankins, Mary E. Jensen",1999-05-07,2000-05-08,2004-10-19,2004-10-19,https://patents.google.com/patent/US6805697B1/en
US6830828B2,Organometallic complexes as phosphorescent emitters in organic LEDs ,"The Trustees Of Princeton University, The University Of Southern California","Mark E. Thompson, Peter Djurovich, Sergey Lamansky, Stephen R. Forrest, Marc A. Baldo, Paul E. Burrows",1998-09-14,2001-06-18,2004-12-14,2004-12-14,https://patents.google.com/patent/US6830828B2/en
US6835469B2,Phosphorescent compounds and devices comprising the same ,"The University Of Southern California, Universal Display Corporation","Raymond C. Kwong, David B. Knowles, Mark E. Thompson",2001-10-17,2001-10-17,2004-12-28,2004-12-28,https://patents.google.com/patent/US6835469B2/en
US6821505B2,Immunoglobin-like domains with increased half lives ,"Board Of Regents, The University Of Texas System",Elizabeth Sally Ward,1997-03-03,2001-08-20,2004-11-23,2004-11-23,https://patents.google.com/patent/US6821505B2/en
US6826428B1,Gastrointestinal electrical stimulation ,The Board Of Regents Of The University Of Texas System,"Jiande Chen, Pankaj Jay Pasricha",2000-04-11,2000-10-11,2004-11-30,2004-11-30,https://patents.google.com/patent/US6826428B1/en
US6821277B2,Percutaneous vertebral fusion system ,University Of Southern California Patent And Copyright Administration,George P. Teitelbaum,2000-06-23,2000-12-21,2004-11-23,2004-11-23,https://patents.google.com/patent/US6821277B2/en
US6816743B2,Methods and apparatus for in vivo identification and characterization of vulnerable atherosclerotic plaques ,University Of Kentucky Research Foundation,"Pedro Moreno, Robert A. Lodder, William O'Connor, James E. Muller",1998-10-08,2001-01-24,2004-11-09,2004-11-09,https://patents.google.com/patent/US6816743B2/en
US6826483B1,Petroleum reservoir simulation and characterization system and method ,The Trustees Of Columbia University In The City Of New York,"Roger N. Anderson, Albert Boulanger, Wei He, Jody Winston, Liquing Xu, Ulisses Mello, Wendell Wiggins",1999-10-13,2000-10-13,2004-11-30,2004-11-30,https://patents.google.com/patent/US6826483B1/en
US6827979B2,Methods utilizing scanning probe microscope tips and products therefor or produced thereby ,Northwestern University,"Chad A. Mirkin, Richard Piner, Seunghun Hong",1999-01-07,2001-05-24,2004-12-07,2004-12-07,https://patents.google.com/patent/US6827979B2/en
US6801850B1,Method and system for tracking moving objects ,University Of Illionis - Chicago,Ouri Wolfson,2000-10-30,2001-10-29,2004-10-05,2004-10-05,https://patents.google.com/patent/US6801850B1/en
US6812005B2,Nucleic acid detection methods using universal priming ,"The Regents Of The University Of California, Illumina, Inc.","Jian-Bing Fan, Xiang-Dong Fu",2000-02-07,2001-02-07,2004-11-02,2004-11-02,https://patents.google.com/patent/US6812005B2/en
US6808557B2,Cellulose matrix encapsulation and method ,"The University Of Alabama, Pg Research Foundation","John David Holbrey, Scott K. Spear, Megan B. Turner, Richard Patrick Swatloski, Robin Don Rogers",2001-10-03,2003-03-21,2004-10-26,2004-10-26,https://patents.google.com/patent/US6808557B2/en
US6809356B2,Method and apparatus for high density nanostructures ,Regents Of The University Of Minnesota,Stephen Y. Chou,1995-11-15,2002-11-21,2004-10-26,2004-10-26,https://patents.google.com/patent/US6809356B2/en
US6808499B1,Therapeutic and diagnostic needling device and method ,University Of Vermont,"David L. Churchill, Helene M. Langevin",2000-09-29,2002-07-02,2004-10-26,2004-10-26,https://patents.google.com/patent/US6808499B1/en
US6814845B2,Method for depositing an enzyme on an electrically conductive substrate ,University Of Kansas,"George S. Wilson, Xiaohong Chen, Norio Matsumoto, Yibai Hu",2001-11-21,2001-11-21,2004-11-09,2004-11-09,https://patents.google.com/patent/US6814845B2/en
US6807583B2,Method of determining causal connections between events recorded during process execution ,Carleton University,"Curtis Hrischuk, Charles Murray Woodside",1997-09-24,2001-11-08,2004-10-19,2004-10-19,https://patents.google.com/patent/US6807583B2/en
US6829384B2,Object finder for photographic images ,Carnegie Mellon University,"Henry Schneiderman, Takeo Kanade",2001-02-28,2001-02-28,2004-12-07,2004-12-07,https://patents.google.com/patent/US6829384B2/en
US6821910B2,Spatially programmable microelectronics process equipment using segmented gas injection showerhead with exhaust gas recirculation ,"University Of Maryland, College Park","Raymond A. Adomaitis, John N. Kidder, Jr., Gary W. Rubloff",2000-07-24,2001-07-23,2004-11-23,2004-11-23,https://patents.google.com/patent/US6821910B2/en
US6821249B2,Temperature monitoring of congestive heart failure patients as an indicator of worsening condition ,"Board Of Regents, The University Of Texas","Samuel Ward Casscells, III, Saeed Payvar",1999-03-08,2002-09-19,2004-11-23,2004-11-23,https://patents.google.com/patent/US6821249B2/en
US6822244B2,Configuration management and retrieval system for proton beam therapy system ,Loma Linda University Medical Center,"Alexandre V. Beloussov, Michael A. Baumann, Howard B. Olsen, Dana Salem",2003-01-02,2003-12-22,2004-11-23,2004-11-23,https://patents.google.com/patent/US6822244B2/en
US6819785B1,Image reporting method and system ,Wake Forest University Health Sciences,"David J. Vining, Yaorong Ge, David K. Ahn, David R. Stelts",1999-08-09,2000-08-09,2004-11-16,2004-11-16,https://patents.google.com/patent/US6819785B1/en
US6809429B1,Control method and apparatus for internal combustion engine electric hybrid vehicles ,The Regents Of The University Of California,Andrew A. Frank,1998-04-21,2000-10-02,2004-10-26,2004-10-26,https://patents.google.com/patent/US6809429B1/en
US6835393B2,Enhanced transport using membrane disruptive agents ,"University Of Washington, University Of Massachusetts","Allan S. Hoffman, Patrick Stayton, Oliver W. Press, David Tirrell, Niren Murthy, Chantal Lackey, Lawrence A. Crum, Pierre D. Mourad, Tyrone M. Porter",1998-01-05,1999-01-05,2004-12-28,2004-12-28,https://patents.google.com/patent/US6835393B2/en
US6819692B2,Optical amplifiers and lasers ,"Massachusetts Institute Of Technology, Regents Of The University Of California","Victor I. Klimov, Alexandre Mikhailovski, Jennifer A. Hollingsworth, Catherine A. Leatherdale, Moungi G. Bawendi",2000-03-14,2001-03-14,2004-11-16,2004-11-16,https://patents.google.com/patent/US6819692B2/en
US6824755B2,Method for producing a catalyst support and compositions thereof ,William Marsh Rice University,"Daniel T. Colbert, Hongjie Dai, Jason H. Hafner, Andrew G. Rinzler, Richard E. Smalley",1996-08-08,2001-12-21,2004-11-30,2004-11-30,https://patents.google.com/patent/US6824755B2/en
US6820618B2,Method and apparatus for nullifying the imposed work of breathing ,"University Of Florida Research Foundation, Incorporated","Michael Joseph Banner, Paul Bradford Blanch",1999-02-03,2002-09-03,2004-11-23,2004-11-23,https://patents.google.com/patent/US6820618B2/en
US6808561B2,Biocompatible cement containing reactive calcium phosphate nanoparticles and methods for making and using such cement ,University Of South Carolina,"Brian R. Genge, Licia Wu, Glenn R. Sauer, Roy E. Wuthier, Ronald Genge",2000-10-16,2001-10-16,2004-10-26,2004-10-26,https://patents.google.com/patent/US6808561B2/en
US6800670B2,Crosslinking of polyethylene for low wear using radiation and thermal treatments ,"Orthopaedic Hospital, University Of Southern California","Fu-Wen Shen, Harry A. McKellop, Ronald Salovey",1996-07-09,2001-02-26,2004-10-05,2004-10-05,https://patents.google.com/patent/US6800670B2/en
US6801641B2,Three dimensional face identification system ,Wheeling Jesuit University,Arsev H. Eraslan,1997-12-01,2002-02-06,2004-10-05,2004-10-05,https://patents.google.com/patent/US6801641B2/en
US6836761B1,Voice converter for assimilation by frame synthesis with temporal alignment ,"Yamaha Corporation, Pompeu Fabra University","Takahiro Kawashima, Yasuo Yoshioka, Pedro Cano, Alex Loscos, Xavier Serra, Mark Schiementz, Jordi Bonada",1999-10-21,2000-10-20,2004-12-28,2004-12-28,https://patents.google.com/patent/US6836761B1/en
