search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20071001&after=publication:20070701&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7239908B1,Assessing the condition of a joint and devising treatment ,The Board Of Trustees Of The Leland Stanford Junior University,"Eugene J. Alexander, Thomas P. Andriacchi, Philipp Lang, Daniel Steines",1998-09-14,2000-09-14,2007-07-03,2007-07-03,https://patents.google.com/patent/US7239908B1/en
US7240015B1,Policy representations and mechanisms for the control of software ,Mitel Networks Corporation And The University Of Ottawa,"Ahmed Karmouch, Tom Gray, Serge Mankovskii, Mouheine Guennoun",1999-09-17,2000-09-15,2007-07-03,2007-07-03,https://patents.google.com/patent/US7240015B1/en
US7263395B2,Venous pulse oximetry ,Loughborough University Enterprises Ltd.,"Fang Chiat Daniel Chan, Matthew James Hayes, Peter Richard Smith",2002-01-31,2003-01-31,2007-08-28,2007-08-28,https://patents.google.com/patent/US7263395B2/en
US7260436B2,Implantable networked neural system ,Case Western Reserve University,"Kevin L. Kilgore, Paul Hunter Peckham, Timothy J. Crish, Brian Smith",2001-10-16,2002-10-16,2007-08-21,2007-08-21,https://patents.google.com/patent/US7260436B2/en
US7271747B2,Method and apparatus for distributed compressed sensing ,Rice University,"Richard G. Baraniuk, Dror Z. Baron, Marco F. Duarte, Shriram Sarvotham, Michael B. Wakin, Mark Davenport",2005-05-10,2006-05-10,2007-09-18,2007-09-18,https://patents.google.com/patent/US7271747B2/en
US7253442B2,Thermal interface material with carbon nanotubes ,"Tsing Hua University, Hon Hai Precision Industry Co., Ltd.","Hua Huang, Chang-Hong Liu, Shou-Shan Fan",2004-04-02,2004-12-29,2007-08-07,2007-08-07,https://patents.google.com/patent/US7253442B2/en
US7265037B2,Nanowire array and nanowire solar cells and methods for forming the same ,The Regents Of The University Of California,"Peidong Yang, Lori Greene, Matthew Law",2003-06-20,2004-06-14,2007-09-04,2007-09-04,https://patents.google.com/patent/US7265037B2/en
US7251609B1,Method for conducting clinical trials over the internet ,The Trustees Of Boston University,"Timothy E. McAlindon, Karim A. N. Kabbara",1999-04-29,2000-04-28,2007-07-31,2007-07-31,https://patents.google.com/patent/US7251609B1/en
US7247338B2,Coating medical devices ,Regents Of The University Of Minnesota,"David Y. H. Pui, Da-Ren Chen",2001-05-16,2002-11-21,2007-07-24,2007-07-24,https://patents.google.com/patent/US7247338B2/en
US7269516B2,Systems and methods for monitoring behavior informatics ,"Psychogenics, Inc., Carnegie Mellon University","Daniela Brunner, Vijay Gondhalekar, Emer Leahy, David LaRose, William P. Ross",2001-05-15,2002-05-15,2007-09-11,2007-09-11,https://patents.google.com/patent/US7269516B2/en
US7272265B2,Methods for performing DAF data filtering and padding ,The University Of Houston System,"Donald K. Kouri, David K. Hoffman, Mark Arnold, Ioannis A. Kakadiaris, Zhuoer Shi, DeSheng Zhang, Gemunu H. Gunaratne, Haixiang Wang, Guowei W. Wei, Zheng Bao Xi'an",1998-03-13,2003-06-04,2007-09-18,2007-09-18,https://patents.google.com/patent/US7272265B2/en
US7248912B2,Tissue implantable sensors for measurement of blood solutes ,The Regents Of The University Of California,"David A. Gough, Michael C. Jablecki, Joseph Y. Lucisano, Mark B. Catlin",2002-10-31,2003-10-31,2007-07-24,2007-07-24,https://patents.google.com/patent/US7248912B2/en
US7271156B2,Immunostimulatory nucleic acids ,"University Of Iowa Research Foundation, Coley Pharmaceutical Gmbh","Arthur M. Krieg, Jörg Vollmer, Christian Schetter",1999-09-25,2002-12-09,2007-09-18,2007-09-18,https://patents.google.com/patent/US7271156B2/en
US7260501B2,"Intelligent model-based diagnostics for system monitoring, diagnosis and maintenance ","University Of Connecticut, Toyota Technical Center, U.S.A., Inc.","Krishna R. Pattipatti, Jianhui Luo, Liu Qiao, Shunsuke Chigusa",2004-04-21,2005-04-21,2007-08-21,2007-08-21,https://patents.google.com/patent/US7260501B2/en
US7258012B2,Integrated monolithic tri-axial micromachined accelerometer ,"University Of Florida Research Foundation, Inc.",Huikai Xie,2003-02-24,2006-02-21,2007-08-21,2007-08-21,https://patents.google.com/patent/US7258012B2/en
