search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20120401&after=publication:20120301&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
USRE43282E1,Assessing the condition of a joint and devising treatment ,The Board Of Trustees Of The Leland Stanford Junior University,"Eugene J. Alexander, Thomas P. Andriacchi, Philipp Lang, Daniel Steines",1998-09-14,2008-08-19,2012-03-27,2012-03-27,https://patents.google.com/patent/USRE43282E1/en
US8129654B2,DC arc plasmatron and method of using the same ,Cheju National University Industry Academic Cooperation Foundation,"Heon-Ju LEE, Yong-Son Mok, Valentin Anatolievich Riaby, Valdim Yu Plaksin",2006-04-04,2006-12-26,2012-03-06,2012-03-06,https://patents.google.com/patent/US8129654B2/en
US8145183B2,On-demand emergency notification system using GPS-equipped devices ,University Of South Florida,"Sean J. Barbeau, Philip L. Winters, Rafael Perez, Miguel Labrador, Nevine Georggi, Sasha Dos Santos",2005-09-23,2006-09-25,2012-03-27,2012-03-27,https://patents.google.com/patent/US8145183B2/en
US8131697B2,Method and apparatus for approximate matching where programmable logic is used to process data being written to a mass storage medium and process data being read from a mass storage medium ,Washington University,"Ronald S. Indeck, Ron Kaplan Cytron, Mark Allen Franklin",2000-04-07,2007-10-31,2012-03-06,2012-03-06,https://patents.google.com/patent/US8131697B2/en
US8145355B2,Coordinated joint motion control system ,"Board Of Regents Of The Nevada System Of Higher Education, On Behalf Of The University Of Nevada, Reno",George Danko,2001-08-31,2008-11-24,2012-03-27,2012-03-27,https://patents.google.com/patent/US8145355B2/en
US8145760B2,Methods and systems for automatic inference and adaptation of virtualized computing environments ,Northwestern University,"Peter Dinda, Ananth Sundararaj, John Lange, Ashish Gupta, Bin Lin",2006-07-24,2007-07-24,2012-03-27,2012-03-27,https://patents.google.com/patent/US8145760B2/en
US8135994B2,"Methods, media, and systems for detecting an anomalous sequence of function calls ",The Trustees Of Columbia University In The City Of New York,"Angelos D. Keromytis, Salvatore J. Stolfo",2006-10-30,2007-10-30,2012-03-13,2012-03-13,https://patents.google.com/patent/US8135994B2/en
US8142370B2,Electro-rheological fluid brake and actuator devices and orthotic devices using the same ,Northeastern University,"Brian Weinberg, Jason Nikitczuk, Constantinos Mavroidis",2004-11-09,2005-11-09,2012-03-27,2012-03-27,https://patents.google.com/patent/US8142370B2/en
US8129187B2,"Somatic cell reprogramming by retroviral vectors encoding Oct3/4. Klf4, c-Myc and Sox2 ",Kyoto University,"Shinya Yamanaka, Kazutoshi Takahashi, Keisuke Okita",2005-12-13,2010-02-18,2012-03-06,2012-03-06,https://patents.google.com/patent/US8129187B2/en
US8137554B2,"Microfluidic devices, particularly filtration devices comprising polymeric membranes, and method for their manufacture and use ",State Of Oregon Acting By And Through The State Board Of Higher Education On Behalf Of Oregon State University,"Goran Jovanovic, Sundar V. Atre, Brian Kevin Paul, John Simonsen, Vincent Thomas Remcho, Chih-Hung Chang",2004-10-06,2011-04-29,2012-03-20,2012-03-20,https://patents.google.com/patent/US8137554B2/en
