search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20101001&after=publication:20100801&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7799163B1,Substrate-supported aligned carbon nanotube films ,University Of Dayton,"Albert Mau, Li-ming Dai, Shaoming Huang",1999-05-28,2000-05-25,2010-09-21,2010-09-21,https://patents.google.com/patent/US7799163B1/en
US7799699B2,Printable semiconductor structures and related methods of making and assembling ,The Board Of Trustees Of The University Of Illinois,"Ralph G. Nuzzo, John A. Rogers, Etienne Menard, Keon Jae Lee, Dahl-Young Khang, Yugang Sun, Matthew Meitl, Zhengtao Zhu, Heung Cho Ko, Shawn Mack",2004-06-04,2006-06-01,2010-09-21,2010-09-21,https://patents.google.com/patent/US7799699B2/en
US7800368B2,High field magnetic resonance ,Regents Of The University Of Minnesota,"J. Thomas Vaughan, Pierre-Francois Van de Moortele, Lance DelaBarre, Christopher C. Olson, Heather Orser, Anand Gopinath, Kamil Ugurbil, Carl Snyder, Gregor Adiany, Can E. Akgun, Jinfeng Tian, John Strupp, Peter M. Andersen, Xiaoping Wu",2006-02-17,2007-02-17,2010-09-21,2010-09-21,https://patents.google.com/patent/US7800368B2/en
US7784097B1,Systems and methods for correlating and distributing intrusion alert information among collaborating computer systems ,The Trustees Of Columbia University In The City Of New York,"Salvatore J. Stolfo, Angelos D. Keromytis, Vishal Misra, Michael E. LOCASTO, Janak Parekh",2004-11-24,2004-11-24,2010-08-24,2010-08-24,https://patents.google.com/patent/US7784097B1/en
US7779463B2,Systems and methods for correlating and distributing intrusion alert information among collaborating computer systems ,The Trustees Of Columbia University In The City Of New York,"Salvatore J. Stolfo, Tal Malkin, Angelos D. Keromytis, Vishal Misra, Michael Locasto, Janak Parekh",2004-05-11,2004-06-09,2010-08-17,2010-08-17,https://patents.google.com/patent/US7779463B2/en
US7791432B2,Contour-mode piezoelectric micromechanical resonators ,The Regents Of The University Of California,"Gianluca Piazza, Philip J. Stephanou, Albert P. Pisano",2005-06-02,2006-05-31,2010-09-07,2010-09-07,https://patents.google.com/patent/US7791432B2/en
US7802172B2,Variable-rate low-density parity check codes with constant blocklength ,"Stmicroelectronics, Inc., Stmicroelectronics S.R.L., The Regents Of The University Of California","Andres I. Vila Casado, Wen-Yen Weng, Richard D. Wesel, Nicola Moschini, Massimiliano Siti, Stefano Valle, Engling Yeo",2005-06-20,2006-06-20,2010-09-21,2010-09-21,https://patents.google.com/patent/US7802172B2/en
US7766903B2,Patterned laser treatment of the retina ,The Board Of Trustees Of The Leland Stanford Junior University,"Mark S. Blumenkranz, Daniel V. Palanker, Dimitri Yellachich",2003-12-24,2003-12-24,2010-08-03,2010-08-03,https://patents.google.com/patent/US7766903B2/en
US7795175B2,Nano-structure supported solid regenerative polyamine and polyamine polyol absorbents for the separation of carbon dioxide from gas mixtures including the air ,University Of Southern California,"George A. Olah, Alain Goepert, Sergio Meth, G. K. Surya Prakash",2006-08-10,2007-07-19,2010-09-14,2010-09-14,https://patents.google.com/patent/US7795175B2/en
US7792565B2,"Method and system for producing interactive, three-dimensional renderings of selected body organs having hollow lumens to enable simulated movement through the lumen ",Wake Forest University Health Sciences,David J. Vining,1994-10-27,2005-06-20,2010-09-07,2010-09-07,https://patents.google.com/patent/US7792565B2/en
US7780496B2,Method for fabricating electron emitter ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Peng Liu, Shou-Shan Fan, Liang Liu, Kai-Li Jiang",2006-11-24,2007-11-26,2010-08-24,2010-08-24,https://patents.google.com/patent/US7780496B2/en
US7777486B2,Magnetic resonance imaging with bipolar multi-echo sequences ,The Board Of Trustees Of The Leland Stanford Junior University,"Brian Hargreaves, Wenmiao Lu",2007-09-13,2007-09-13,2010-08-17,2010-08-17,https://patents.google.com/patent/US7777486B2/en
US7765647B2,Non-woven fiber assemblies ,The University Of Akron,"Daniel J. Smith, Darrell H. Reneker",2002-04-04,2003-04-04,2010-08-03,2010-08-03,https://patents.google.com/patent/US7765647B2/en
US7799553B2,Microfabricated integrated DNA analysis system ,The Regents Of The University Of California,"Richard A. Mathies, Robert Blazej, Chung Liu, Palani Kumaresan, Stephanie H. I. Yeung",2004-06-01,2005-05-25,2010-09-21,2010-09-21,https://patents.google.com/patent/US7799553B2/en
US7799243B2,Shape memory main-chain smectic-C elastomers ,University Of Connecticut,"Patrick T. Mather, Ingrid A. Rousseau, Haihu Qin",2004-03-31,2009-04-08,2010-09-21,2010-09-21,https://patents.google.com/patent/US7799243B2/en
US7785262B2,Method and apparatus for diagnosing respiratory disorders and determining the degree of exacerbations ,"University Of Florida Research Foundation, Inc., Neil Euliano","Richard J. Melker, Neil R. Euliano",2005-04-25,2005-04-25,2010-08-31,2010-08-31,https://patents.google.com/patent/US7785262B2/en
US7768800B2,Multiphase converter apparatus and method ,The Board Of Trustees Of The University Of Illinois,"Sudip K. Mazumder, Rongjun Huang",2007-12-12,2008-12-12,2010-08-03,2010-08-03,https://patents.google.com/patent/US7768800B2/en
US7785907B2,Method for manufacturing cathode assembly of field emission display ,"Tsinghua University, Hon Hai Precision Industry Co., Ltd.","Zhi Zheng, Shou-Shan Fan",2006-06-09,2006-11-03,2010-08-31,2010-08-31,https://patents.google.com/patent/US7785907B2/en
US7774929B2,Method of self-assembly on a surface ,Regents Of The University Of Minnesota,Heiko O. Jacobs,2006-03-14,2007-03-14,2010-08-17,2010-08-17,https://patents.google.com/patent/US7774929B2/en
USRE41582E1,S-band low-noise amplifier with self-adjusting bias for improved power consumption and dynamic range in a mobile environment ,The Regents Of The University Of California,"Lawrence Larson, Wei Xiong",2000-06-14,2006-05-11,2010-08-24,2010-08-24,https://patents.google.com/patent/USRE41582E1/en
US7783337B2,OCT using spectrally resolved bandwidth ,"Board Of Regents, The University Of Texas System","Marc D. Feldman, Thomas E. Milner, Jung Hwan Oh, Eunha Kim, Karthik Kumar, Chris Condit, Robert Grant, Nate Kemp, Jeehyun Kim, Shaochen Chen, Li-Hsin Han",2005-06-06,2006-06-05,2010-08-24,2010-08-24,https://patents.google.com/patent/US7783337B2/en
US7795355B2,Preparation of functional polymers ,Carnegie Mellon University,"Krzyszlof Matyjaszewski, Brent S. Sumerlin, Nicolay V. Tsarevsky, James Spanswick",2004-03-05,2005-03-07,2010-09-14,2010-09-14,https://patents.google.com/patent/US7795355B2/en
US7790651B2,Porous silica and metal oxide composite-based catalysts for conversion of fatty acids and oils to biodiesel ,"Iowa State University Research Foundation, Inc.","Victor Shang-Yi Lin, Jennifer A. Nieweg, John G. Verkade, Chinta Reddy Venkat Reddy, Carla Kern",2006-07-23,2006-08-18,2010-09-07,2010-09-07,https://patents.google.com/patent/US7790651B2/en
US7766033B2,Multiplexed latching valves for microfluidic devices and processors ,The Regents Of The University Of California,"Richard A. Mathies, William H. Grover, Erik C. Jensen",2006-03-22,2007-03-21,2010-08-03,2010-08-03,https://patents.google.com/patent/US7766033B2/en
US7785321B2,Minimally invasive glaucoma surgical instrument and method ,The Regents Of The University Of California,"George Baerveldt, Roy Chuck",2001-01-18,2005-11-14,2010-08-31,2010-08-31,https://patents.google.com/patent/US7785321B2/en
US7802236B2,Method and apparatus for identifying similar regions of a program's execution ,The Regents Of The University Of California,"Brad Calder, Timothy Sherwood, Erez Perelman, Gregory Hamerly",2002-09-09,2003-09-09,2010-09-21,2010-09-21,https://patents.google.com/patent/US7802236B2/en
