search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20101201&after=publication:20101001&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7816570B2,Process for conversion of biomass to fuel ,North Carolina State University,"William L. Roberts, IV, H. Henry Lamb, Larry F. Stikeleather, Timothy L. Turner",2006-12-01,2007-11-30,2010-10-19,2010-10-19,https://patents.google.com/patent/US7816570B2/en
US7819826B2,Implantable thermal treatment method and apparatus ,The Regents Of The University Of California,"Chris J. Diederich, Jeffrey C. Lotz, Will Nau, David S. Bradford, John P. O'Banion, James C. Peacock, III",2002-01-23,2003-01-23,2010-10-26,2010-10-26,https://patents.google.com/patent/US7819826B2/en
US7844877B2,Method and device for multi phase error-correction ,Ramot At Tel Aviv University Ltd.,"Simon Litsyn, Eran Sharon, Idan Alrod, Menahem Lasser",2005-11-15,2006-09-01,2010-11-30,2010-11-30,https://patents.google.com/patent/US7844877B2/en
US7812224B2,Methods and materials for making and using transgenic dicamba-degrading organisms ,Board Of Regents Of University Of Nebraska,"Donald P. Weeks, Xiao-Zhuo Wang, Patricia L. Herman",1997-04-04,2002-12-27,2010-10-12,2010-10-12,https://patents.google.com/patent/US7812224B2/en
US7816121B2,Droplet actuation system and method ,"Advanced Liquid Logic, Inc., Duke University","Michael G. Pollack, Philip Y. Paik, Vamsee K. Pamula",2006-04-18,2006-12-15,2010-10-19,2010-10-19,https://patents.google.com/patent/US7816121B2/en
US7834999B2,Optical analysis system and optical train ,University Of South Carolina,"Michael L. Myrick, Jonathan H. James, John C. Blackburn, Robert P. Freese",2005-11-28,2006-11-27,2010-11-16,2010-11-16,https://patents.google.com/patent/US7834999B2/en
US7822510B2,"Systems, methods, and products for graphically illustrating and controlling a droplet actuator ","Advanced Liquid Logic, Inc., Duke University","Philip Y. Paik, Michael G. Pollack, Ryan A. Sturmer, Gregory F. Smith, Keith R. Brafford, Vamsee K. Pamula",2006-05-09,2007-08-14,2010-10-26,2010-10-26,https://patents.google.com/patent/US7822510B2/en
US7812369B2,Fabrication of single or multiple gate field plates ,The Regents Of The University Of California,"Alessandro Chini, Umesh K. Mishra, Primit Parikh, Yifeng Wu",2003-09-09,2004-09-09,2010-10-12,2010-10-12,https://patents.google.com/patent/US7812369B2/en
US7824889B2,Digital amplification ,The Johns Hopkins University,"Bert Vogelstein, Kenneth W. Kinzler",1999-08-02,2007-02-23,2010-11-02,2010-11-02,https://patents.google.com/patent/US7824889B2/en
US7807816B2,Antisense oligonucleotides for inducing exon skipping and methods of use thereof ,University Of Western Australia,"Stephen Donald Wilton, Sue Fletcher, Graham McClorey",2004-06-28,2005-06-28,2010-10-05,2010-10-05,https://patents.google.com/patent/US7807816B2/en
US7815635B2,"Catheter and method, in particular for ablation and like technique ","University Medical Center Utrecht, University Of Oklahoma","Frederik Henricus Wittkampf, Hiroshi Nakagawa",2003-10-29,2004-10-20,2010-10-19,2010-10-19,https://patents.google.com/patent/US7815635B2/en
US7814401B2,Soft decoding of hard and soft bits read from a flash memory ,Ramot At Tel Aviv University Ltd.,"Idan Alrod, Eran Sharon, Simon Litsyn, Menahem Lasser",2006-12-21,2006-12-21,2010-10-12,2010-10-12,https://patents.google.com/patent/US7814401B2/en
US7809160B2,Method and apparatus for calibration-free eye tracking using multiple glints or surface reflections ,Queen's University At Kingston,"Roel Vertegaal, Changuk Sohn, Daniel Cheng, Victor Macfarlane, Jeffrey S. Shell",2003-11-14,2004-11-15,2010-10-05,2010-10-05,https://patents.google.com/patent/US7809160B2/en
US7807619B2,Compositions and methods for modification of biomolecules ,The Regents Of The University Of California,"Carolyn R. Bertozzi, Nicholas J. Agard, Jennifer A. Prescher, Jeremy Michael Baskin",2004-11-01,2005-10-31,2010-10-05,2010-10-05,https://patents.google.com/patent/US7807619B2/en
